Wavelength [nm],Sitka,Broadleaf,Grass
555,396.396,479.44,838.36
556,395.332,478.1888,836.6
557,393.904,475.8752,833.24
558,392.168,472.7048,829.36
559,390.208,469.0336,825.64
560,387.884,464.4608,819.4
561,385.28,459.584,812.56
562,382.48,454.536,805.88
563,379.596,448.7712,798.08
564,376.46,442.6192,790
565,373.044,436.0672,781.44
566,369.348,428.9072,771.72
567,365.624,421.528,761.36
568,361.872,413.916,750.56
569,357.98,406.0136,739.64
570,353.864,397.92,729.6
571,349.636,389.876,718.68
572,345.408,382.0304,706.56
573,341.544,374.284,696.16
574,337.96,366.8744,686.32
575,334.6,359.9792,676.52
576,331.296,353.7744,666.76
577,328.16,347.6072,657.68
578,325.164,341.756,649.4
579,322.364,336.6664,641.72
580,319.9,331.8016,634.04
581,317.52,327.2688,626.64
582,315.14,323.1528,619.72
583,313.18,319.2896,613.12
584,311.248,315.7664,607
585,309.288,312.4944,601.48
586,307.496,309.1648,596.72
587,305.788,306.2664,590.96
588,304.304,303.6048,585.2
589,303.24,300.792,581.32
590,302.148,298.4256,577.88
591,301.056,296.3328,575.08
592,300.02,294.3208,572.92
593,299.18,292.5816,569.56
594,298.424,290.8384,566.56
595,297.668,289.0968,564.32
596,296.996,287.7936,561.8
597,296.128,286.5336,559.08
598,295.12,285.1664,556.24
599,294.168,283.6408,553.4
600,293.384,282.16,549.4
601,292.544,280.6256,545.48
602,291.564,278.9656,542.64
603,290.64,277.4712,539.4
604,290.164,275.984,536.6
605,290.052,274.3976,534.52
606,289.52,272.6912,532.16
607,288.988,270.8792,529.84
608,288.344,268.8704,527.64
609,287.196,266.548,525.32
610,285.768,264.3192,521.4
611,284.06,261.9928,516.8
612,282.1,259.3352,512.76
613,280.448,256.632,508.48
614,278.7708,253.936,504.76
615,276.9424,251.2712,501.68
616,275.2428,248.6392,497.72
617,273.5292,246.0992,494.28
618,272.0452,243.6456,491.52
619,271.264,241.2584,488.8
620,269.9452,239.2224,485.12
621,268.492,237.3912,480.04
622,267.498,235.5616,473.76
623,266.3444,233.9056,468
624,265.3,232.6016,462.92
625,264.4824,231.5808,458.4
626,263.5388,230.2528,454.04
627,262.9732,229.3376,451.08
628,262.8164,228.896,449.72
629,262.7576,228.5016,449.52
630,262.8388,228.0792,450.68
631,262.9844,227.6784,452.24
632,263.1272,227.3216,453.12
633,263.5164,226.62,453.72
634,263.6592,225.6528,453.88
635,263.2056,224.4808,453.04
636,262.206,223.064,449.68
637,260.9292,221.1632,445.56
638,259.5628,218.8968,441.08
639,258.23,216.676,435.2
640,256.704,214.2808,429.12
641,255.0072,211.7624,423.04
642,253.2544,209.2504,416.96
643,251.6836,206.8008,410.4
644,250.1408,204.332,403.76
645,248.5112,201.8344,397.372
646,246.8816,199.492,390.628
647,245.3724,197.3336,384.46
648,244.062,195.404,379.376
649,242.9896,193.7448,375.564
650,241.8668,192.5024,371
651,240.7328,191.3912,366.964
652,239.736,190.1096,365.296
653,239.0108,189.4608,363.036
654,238.4592,189.008,360.888
655,237.9524,188.396,359.444
656,237.3812,187.8696,358.056
657,236.656,187.0992,356.156
658,235.8524,186.1144,353.528
659,235.1916,185.2792,350.3
660,234.3208,184.4408,347.484
661,233.3716,183.5864,345.156
662,232.61,182.7544,342.932
663,231.9492,182.1376,339.816
664,231.3304,181.6656,336.928
665,230.7676,181.3536,334.956
666,230.4484,181.5328,332.884
667,230.342,181.9736,331.628
668,230.4428,182.5792,331.256
669,230.762,183.3552,331.108
670,231.1876,184.3784,332.052
671,231.7616,185.6864,333.596
672,232.5708,187.288,335.012
673,233.6796,189.1728,337.216
674,234.9452,191.2416,340.064
675,236.334,193.4752,343.376
676,238.098,196.0832,347.104
677,239.918,198.8576,351.456
678,241.808,201.8312,356.464
679,244.0788,205.24,362.016
680,246.4896,208.7432,367.548
681,249.0012,212.3648,373.428
682,251.6304,216.2048,380.248
683,254.4388,220.096,387.812
684,257.4404,224.0768,396.448
685,260.6632,228.2272,406.2
686,264.1716,232.6008,416.16
687,268.0468,237.4832,428.48
688,272.4568,243.1936,443.6
689,277.6536,250.0832,460.68
