,sample,species,reflectance.x,wavelength.x,reflectance.y,wavelength.y,ratio,veg_index
91,E36_Birch00001,deciduous,0.50567,783,0.14245,705,3.54980695,2.54980695
92,E5_Birch00000,deciduous,0.57811,783,0.15392,705,3.755912162,2.755912162
93,E5_Birch00001,deciduous,0.48089,783,0.14765,705,3.256959025,2.256959025
94,E5_Birch00002,deciduous,0.49726,783,0.15138,705,3.284846083,2.284846083
95,E5_Hazel00000,deciduous,0.4919,783,0.15538,705,3.165787103,2.165787103
96,E5_Sika00000,sitka,0.64097,783,0.11692,705,5.48212453,4.48212453
97,E5_Sika00001,sitka,0.64369,783,0.16798,705,3.831944279,2.831944279
98,E5_Sika00002,sitka,0.67599,783,0.1393,705,4.852763819,3.852763819
99,O1_Br00001,bracken,0.72557,783,0.14757,705,4.916785254,3.916785254
100,O1_Br00002,bracken,0.72617,783,0.14168,705,5.12542349,4.12542349
101,O1_Br00003,bracken,0.709,783,0.16569,705,4.279075382,3.279075382
102,O1_Br00004,bracken,0.56845,783,0.1314,705,4.326103501,3.326103501
103,O1_Bra00000,bracken,0.66498,783,0.12317,705,5.398879597,4.398879597
104,O13_grass00000,grass,0.66884,783,0.18488,705,3.617697966,2.617697966
105,O15_Br00000,bracken,0.68411,783,0.15326,705,4.46372178,3.46372178
106,O17_Birch00000,deciduous,0.5674,783,0.15894,705,3.569900591,2.569900591
107,O17_Rho00000,rhododendron,0.58966,783,0.14508,705,4.064378274,3.064378274
108,O17_Rho00001,rhododendron,0.59718,783,0.13777,705,4.334615664,3.334615664
109,O17_Rho00002,rhododendron,0.57154,783,0.15306,705,3.734091206,2.734091206
110,O17_Rowan00000,deciduous,0.46996,783,0.24024,705,1.956210456,0.956210456
111,O17_Sika00000,sitka,0.63203,783,0.15565,705,4.060584645,3.060584645
112,O2_Sika00000,sitka,0.70736,783,0.21847,705,3.237790086,2.237790086
113,O2_Sika00001,sitka,0.6277,783,0.18152,705,3.458021155,2.458021155
114,O2_Sika00002,sitka,0.42238,783,0.14777,705,2.858360966,1.858360966
115,O20_Beech00000,deciduous,0.40419,783,0.18438,705,2.192157501,1.192157501
116,O20_Beech00002,deciduous,0.39806,783,0.17225,705,2.310943396,1.310943396
117,O20_Beech00003,deciduous,0.39651,783,0.17068,705,2.323119288,1.323119288
118,O20_Br00000,bracken,0.47701,783,0.20378,705,2.340808715,1.340808715
119,O20_Br00001,bracken,0.47415,783,0.19974,705,2.373835987,1.373835987
120,O20_Br00002,bracken,0.50613,783,0.2049,705,2.470131772,1.470131772
121,O23_Hazel00000,deciduous,0.42394,783,0.14181,705,2.989492984,1.989492984
122,O23_Horse.chestnut00000,deciduous,0.44674,783,0.1509,705,2.960503645,1.960503645
123,O23_Lime00000,deciduous,0.3962,783,0.14695,705,2.696155155,1.696155155
124,O23_Sycamore00000,deciduous,0.45427,783,0.14081,705,3.226120304,2.226120304
125,O23_Sycamore00001,deciduous,0.44411,783,0.13514,705,3.286295693,2.286295693
126,O5_Alder00000,deciduous,0.4432,783,0.13776,705,3.217189315,2.217189315
127,O5_Alder00001,deciduous,0.45675,783,0.1406,705,3.248577525,2.248577525
128,O5_Ash00000,deciduous,0.66466,783,0.16343,705,4.066939974,3.066939974
129,O9_Br00000,bracken,0.7272,783,0.13163,705,5.524576464,4.524576464
130,O9_Br00001,bracken,0.73027,783,0.13103,705,5.573303824,4.573303824
