"","wavelength","beech_mean_reflectance"
"440",440,0.286433333333333
"441",441,0.286436666666667
"442",442,0.286446666666667
"443",443,0.28647
"444",444,0.286503333333333
"445",445,0.28653
"446",446,0.286583333333333
"447",447,0.28666
"448",448,0.28675
"449",449,0.28687
"450",450,0.28699
"451",451,0.287103333333333
"452",452,0.287223333333333
"453",453,0.28734
"454",454,0.287473333333333
"455",455,0.287623333333333
"456",456,0.2878
"457",457,0.287983333333333
"458",458,0.288173333333333
"459",459,0.288373333333333
"460",460,0.288603333333333
"461",461,0.288853333333333
"462",462,0.289126666666667
"463",463,0.28943
"464",464,0.289756666666667
"465",465,0.290116666666667
"466",466,0.290523333333333
"467",467,0.290946666666667
"468",468,0.291403333333333
"469",469,0.291886666666667
"470",470,0.292393333333333
"471",471,0.292926666666667
"472",472,0.293503333333333
"473",473,0.29408
"474",474,0.29467
"475",475,0.295273333333333
"476",476,0.29589
"477",477,0.296513333333333
"478",478,0.297156666666667
"479",479,0.29781
"480",480,0.298476666666667
"481",481,0.299146666666667
"482",482,0.29983
"483",483,0.300496666666667
"484",484,0.301153333333333
"485",485,0.301823333333333
"486",486,0.302503333333333
"487",487,0.303176666666667
"488",488,0.30387
"489",489,0.304543333333333
"490",490,0.305213333333333
"491",491,0.305893333333333
"492",492,0.306573333333333
"493",493,0.307246666666667
"494",494,0.307913333333333
"495",495,0.308563333333333
"496",496,0.309216666666667
"497",497,0.309853333333333
"498",498,0.310506666666667
"499",499,0.311176666666667
"500",500,0.311823333333333
"501",501,0.312476666666667
"502",502,0.313106666666667
"503",503,0.313726666666667
"504",504,0.31435
"505",505,0.314966666666667
"506",506,0.31558
"507",507,0.31618
"508",508,0.316766666666667
"509",509,0.317366666666667
"510",510,0.317966666666667
"511",511,0.31857
"512",512,0.31916
"513",513,0.31975
"514",514,0.320316666666667
"515",515,0.32087
"516",516,0.321426666666667
"517",517,0.32196
"518",518,0.322503333333333
"519",519,0.32305
"520",520,0.32359
"521",521,0.324126666666667
"522",522,0.324646666666667
"523",523,0.325133333333333
"524",524,0.32563
"525",525,0.326116666666667
"526",526,0.326596666666667
"527",527,0.32708
"528",528,0.327543333333333
"529",529,0.327986666666667
"530",530,0.32843
"531",531,0.328876666666667
"532",532,0.329306666666667
"533",533,0.329736666666667
"534",534,0.33015
"535",535,0.330533333333333
"536",536,0.33094
"537",537,0.331366666666667
"538",538,0.33177
"539",539,0.332183333333333
"540",540,0.332576666666667
"541",541,0.332953333333333
"542",542,0.333296666666667
"543",543,0.333653333333333
"544",544,0.33401
"545",545,0.33435
"546",546,0.334703333333333
"547",547,0.335066666666667
"548",548,0.33542
"549",549,0.335776666666667
"550",550,0.336123333333333
"551",551,0.33645
"552",552,0.33676
"553",553,0.33707
"554",554,0.33737
"555",555,0.337663333333333
"556",556,0.33797
"557",557,0.33827
"558",558,0.33856
"559",559,0.338836666666667
"560",560,0.339116666666667
"561",561,0.339413333333333
"562",562,0.33969
"563",563,0.33997
"564",564,0.340243333333333
"565",565,0.340496666666667
"566",566,0.34075
"567",567,0.341003333333333
"568",568,0.341253333333333
"569",569,0.341503333333333
"570",570,0.341743333333333
"571",571,0.34199
"572",572,0.34223
"573",573,0.34247
"574",574,0.342706666666667
"575",575,0.34294
"576",576,0.343166666666667
"577",577,0.343386666666667
"578",578,0.34359
"579",579,0.343806666666667
"580",580,0.344023333333333
"581",581,0.344226666666667
"582",582,0.34443
"583",583,0.34464
"584",584,0.34484
"585",585,0.345046666666667
"586",586,0.345263333333333
"587",587,0.345466666666667
"588",588,0.345663333333333
"589",589,0.34586
"590",590,0.34605
"591",591,0.34625
"592",592,0.34646
"593",593,0.346656666666667
"594",594,0.346863333333333
"595",595,0.34705
"596",596,0.347213333333333
"597",597,0.347386666666667
"598",598,0.34755
"599",599,0.347723333333333
"600",600,0.34791
"601",601,0.348076666666667
"602",602,0.348213333333333
"603",603,0.348373333333333
"604",604,0.34853
"605",605,0.348686666666667
"606",606,0.348863333333333
"607",607,0.349023333333333
"608",608,0.349156666666667
"609",609,0.349313333333333
"610",610,0.34949
"611",611,0.349636666666667
"612",612,0.34977
"613",613,0.349916666666667
"614",614,0.350056666666667
"615",615,0.350193333333333
"616",616,0.35035
"617",617,0.35049
"618",618,0.35061
"619",619,0.35074
"620",620,0.350873333333333
"621",621,0.351003333333333
"622",622,0.351133333333333
"623",623,0.351243333333333
"624",624,0.351336666666667
"625",625,0.351433333333333
"626",626,0.351523333333333
"627",627,0.351596666666667
"628",628,0.35166
"629",629,0.351736666666667
"630",630,0.351806666666667
"631",631,0.35189
"632",632,0.351986666666667
"633",633,0.352083333333333
"634",634,0.35218
"635",635,0.352263333333333
"636",636,0.35235
"637",637,0.352423333333333
"638",638,0.35247
"639",639,0.352536666666667
"640",640,0.35262
"641",641,0.35268
"642",642,0.352743333333333
"643",643,0.352806666666667
"644",644,0.352856666666667
"645",645,0.35289
"646",646,0.352906666666667
"647",647,0.35294
"648",648,0.352966666666667
"649",649,0.35298
"650",650,0.353016666666667
"651",651,0.353013333333333
"652",652,0.352973333333333
"653",653,0.35294
"654",654,0.352903333333333
"655",655,0.35286
"656",656,0.352806666666667
"657",657,0.35276
"658",658,0.352713333333333
"659",659,0.35266
"660",660,0.35261
"661",661,0.352546666666667
"662",662,0.352463333333333
"663",663,0.352383333333333
"664",664,0.352293333333333
"665",665,0.352206666666667
"666",666,0.352123333333333
"667",667,0.352043333333333
"668",668,0.351963333333333
"669",669,0.351896666666667
"670",670,0.351853333333333
"671",671,0.35179
"672",672,0.351723333333333
"673",673,0.351656666666667
"674",674,0.35155
"675",675,0.35148
"676",676,0.35143
"677",677,0.351366666666667
"678",678,0.35131
"679",679,0.35125
"680",680,0.3512
"681",681,0.351126666666667
"682",682,0.35105
"683",683,0.35096
"684",684,0.35084
"685",685,0.350726666666667
"686",686,0.3506
"687",687,0.350483333333333
"688",688,0.350366666666667
"689",689,0.35025
"690",690,0.350146666666667
"691",691,0.35002
"692",692,0.34989
"693",693,0.34975
"694",694,0.34959
"695",695,0.34945
"696",696,0.349313333333333
"697",697,0.349166666666667
"698",698,0.349016666666667
"699",699,0.348876666666667
"700",700,0.348753333333333
"701",701,0.348606666666667
"702",702,0.34847
"703",703,0.348323333333333
"704",704,0.348143333333333
"705",705,0.348
"706",706,0.347886666666667
"707",707,0.347746666666667
"708",708,0.34761
"709",709,0.347463333333333
"710",710,0.347293333333333
"711",711,0.347123333333333
"712",712,0.34696
"713",713,0.3468
"714",714,0.346633333333333
"715",715,0.346456666666667
"716",716,0.34629
"717",717,0.346123333333333
"718",718,0.345936666666667
"719",719,0.34579
"720",720,0.345676666666667
"721",721,0.345536666666667
"722",722,0.34541
"723",723,0.34526
"724",724,0.345086666666667
"725",725,0.344923333333333
"726",726,0.34477
"727",727,0.34462
"728",728,0.34448
"729",729,0.34436
"730",730,0.34422
"731",731,0.344063333333333
"732",732,0.34394
"733",733,0.343816666666667
"734",734,0.343706666666667
"735",735,0.343606666666667
"736",736,0.343496666666667
"737",737,0.343373333333333
"738",738,0.343246666666667
"739",739,0.343136666666667
"740",740,0.342996666666667
"741",741,0.34284
"742",742,0.34268
"743",743,0.3425
"744",744,0.34232
"745",745,0.342143333333333
"746",746,0.341953333333333
"747",747,0.34176
"748",748,0.341533333333333
"749",749,0.341263333333333
"750",750,0.341036666666667
"751",751,0.340806666666667
"752",752,0.34059
"753",753,0.340416666666667
"754",754,0.340216666666667
"755",755,0.339993333333333
"756",756,0.339773333333333
"757",757,0.339543333333333
"758",758,0.339323333333333
"759",759,0.33911
"760",760,0.3389
"761",761,0.338703333333333
"762",762,0.338496666666667
"763",763,0.33827
"764",764,0.338076666666667
"765",765,0.33789
"766",766,0.33772
"767",767,0.337576666666667
"768",768,0.337423333333333
"769",769,0.337263333333333
"770",770,0.33711
"771",771,0.336953333333333
"772",772,0.336826666666667
"773",773,0.336693333333333
"774",774,0.33658
"775",775,0.336483333333333
"776",776,0.336393333333333
"777",777,0.336293333333333
"778",778,0.336183333333333
"779",779,0.33608
"780",780,0.335963333333333
"781",781,0.33587
"782",782,0.335793333333333
"783",783,0.335696666666667
"784",784,0.335596666666667
"785",785,0.335526666666667
"786",786,0.335483333333333
"787",787,0.335423333333333
"788",788,0.335383333333333
"789",789,0.335326666666667
"790",790,0.335233333333333
"791",791,0.335186666666667
"792",792,0.33518
"793",793,0.335156666666667
"794",794,0.335146666666667
"795",795,0.33515
"796",796,0.335143333333333
"797",797,0.33515
"798",798,0.335196666666667
"799",799,0.335193333333333
"800",800,0.335163333333333
"801",801,0.335163333333333
"802",802,0.335143333333333
"803",803,0.335156666666667
"804",804,0.335216666666667
"805",805,0.335236666666667
"806",806,0.33525
"807",807,0.33528
"808",808,0.335296666666667
"809",809,0.335316666666667
"810",810,0.335346666666667
"811",811,0.335366666666667
"812",812,0.3354
"813",813,0.335466666666667
"814",814,0.3355
"815",815,0.33552
"816",816,0.335516666666667
"817",817,0.335486666666667
"818",818,0.33546
"819",819,0.33545
"820",820,0.33543
"821",821,0.335413333333333
"822",822,0.335406666666667
"823",823,0.335386666666667
"824",824,0.335383333333333
"825",825,0.33542
"826",826,0.335423333333333
"827",827,0.335416666666667
"828",828,0.335393333333333
"829",829,0.335333333333333
"830",830,0.33529
"831",831,0.335243333333333
"832",832,0.335286666666667
"833",833,0.335246666666667
"834",834,0.33526
"835",835,0.335173333333333
"836",836,0.335096666666667
"837",837,0.33503
"838",838,0.334873333333333
"839",839,0.334526666666667
"840",840,0.334293333333333
"841",841,0.334096666666667
"842",842,0.333906666666667
"843",843,0.333603333333333
"844",844,0.333336666666667
"845",845,0.333086666666667
"846",846,0.332613333333333
"847",847,0.33219
"848",848,0.331823333333333
"849",849,0.331316666666667
"850",850,0.33064
"851",851,0.33009
"852",852,0.329583333333333
"853",853,0.32896
"854",854,0.328436666666667
"855",855,0.327833333333333
"856",856,0.326896666666667
"857",857,0.325946666666667
"858",858,0.324943333333333
"859",859,0.323803333333333
"860",860,0.322636666666667
"861",861,0.32155
"862",862,0.320206666666667
"863",863,0.318646666666667
"864",864,0.316993333333333
"865",865,0.315343333333333
"866",866,0.31363
"867",867,0.31176
"868",868,0.309976666666667
"869",869,0.307813333333333
"870",870,0.305303333333333
"871",871,0.302756666666667
"872",872,0.30009
"873",873,0.297243333333333
"874",874,0.294306666666667
"875",875,0.291296666666667
"876",876,0.288036666666667
"877",877,0.284573333333333
"878",878,0.281003333333333
"879",879,0.277206666666667
"880",880,0.27336
"881",881,0.2694
"882",882,0.265293333333333
"883",883,0.261006666666667
"884",884,0.256736666666667
"885",885,0.252373333333333
"886",886,0.24795
"887",887,0.243313333333333
"888",888,0.23838
"889",889,0.23368
"890",890,0.228793333333333
"891",891,0.22409
"892",892,0.219576666666667
"893",893,0.21512
"894",894,0.210716666666667
"895",895,0.206206666666667
"896",896,0.20211
"897",897,0.198176666666667
"898",898,0.194483333333333
"899",899,0.191166666666667
"900",900,0.187846666666667
"901",901,0.184593333333333
"902",902,0.18163
"903",903,0.178796666666667
"904",904,0.176223333333333
"905",905,0.173853333333333
"906",906,0.171813333333333
"907",907,0.169826666666667
"908",908,0.167943333333333
"909",909,0.166336666666667
"910",910,0.165086666666667
"911",911,0.163763333333333
"912",912,0.16256
"913",913,0.16147
"914",914,0.160496666666667
"915",915,0.159516666666667
"916",916,0.158716666666667
"917",917,0.158176666666667
"918",918,0.157586666666667
"919",919,0.15697
"920",920,0.156533333333333
"921",921,0.15625
"922",922,0.156
"923",923,0.155896666666667
"924",924,0.15576
