"","wavelength","haz_mean_reflectance"
"319",319,0.426675
"320",320,0.42623
"321",321,0.42577
"322",322,0.4253
"323",323,0.424815
"324",324,0.424325
"325",325,0.42382
"326",326,0.423305
"327",327,0.42279
"328",328,0.42223
"329",329,0.421625
"330",330,0.42106
"331",331,0.4205
"332",332,0.419925
"333",333,0.419385
"334",334,0.418815
"335",335,0.41822
"336",336,0.417605
"337",337,0.416985
"338",338,0.41636
"339",339,0.41576
"340",340,0.415195
"341",341,0.41461
"342",342,0.41403
"343",343,0.413425
"344",344,0.412795
"345",345,0.412185
"346",346,0.41161
"347",347,0.411055
"348",348,0.410505
"349",349,0.409945
"350",350,0.40941
"351",351,0.40885
"352",352,0.408255
"353",353,0.4077
"354",354,0.407145
"355",355,0.4066
"356",356,0.40609
"357",357,0.405555
"358",358,0.40502
"359",359,0.40445
"360",360,0.403865
"361",361,0.403265
"362",362,0.40263
"363",363,0.401985
"364",364,0.4013
"365",365,0.400565
"366",366,0.399815
"367",367,0.39899
"368",368,0.398115
"369",369,0.39719
"370",370,0.396195
"371",371,0.395165
"372",372,0.39406
"373",373,0.392875
"374",374,0.39158
"375",375,0.39019
"376",376,0.38869
"377",377,0.38712
"378",378,0.385365
"379",379,0.383475
"380",380,0.38145
"381",381,0.37927
"382",382,0.37694
"383",383,0.374505
"384",384,0.371865
"385",385,0.369045
"386",386,0.36609
"387",387,0.362945
"388",388,0.35969
"389",389,0.356265
"390",390,0.3527
"391",391,0.34905
"392",392,0.345235
"393",393,0.34135
"394",394,0.337405
"395",395,0.333355
"396",396,0.329315
"397",397,0.325215
"398",398,0.32109
"399",399,0.317
"400",400,0.312905
"401",401,0.308885
"402",402,0.304945
"403",403,0.30109
"404",404,0.297295
"405",405,0.293645
"406",406,0.29008
"407",407,0.286675
"408",408,0.283395
"409",409,0.280255
"410",410,0.27725
"411",411,0.27439
"412",412,0.271645
"413",413,0.26908
"414",414,0.26668
"415",415,0.264395
"416",416,0.26226
"417",417,0.26024
"418",418,0.25836
"419",419,0.2566
"420",420,0.254955
"421",421,0.253475
"422",422,0.25206
"423",423,0.25075
"424",424,0.24957
"425",425,0.24845
"426",426,0.24742
"427",427,0.24648
"428",428,0.2456
"429",429,0.244805
"430",430,0.244095
"431",431,0.243455
"432",432,0.24288
"433",433,0.242395
"434",434,0.241945
"435",435,0.241555
"436",436,0.241215
"437",437,0.24092
"438",438,0.240665
"439",439,0.24046
"440",440,0.2403
"441",441,0.24018
"442",442,0.240095
"443",443,0.240055
"444",444,0.24004
"445",445,0.240065
"446",446,0.240105
"447",447,0.240175
"448",448,0.240255
"449",449,0.24033
"450",450,0.240435
"451",451,0.240575
"452",452,0.240725
"453",453,0.24092
"454",454,0.241135
"455",455,0.241345
"456",456,0.24159
"457",457,0.241845
"458",458,0.242115
"459",459,0.242425
"460",460,0.242775
"461",461,0.243175
"462",462,0.24361
"463",463,0.244105
"464",464,0.24462
"465",465,0.24517
"466",466,0.24578
"467",467,0.246435
"468",468,0.247135
"469",469,0.24789
"470",470,0.24872
"471",471,0.249555
"472",472,0.25042
"473",473,0.251325
"474",474,0.252255
"475",475,0.253235
"476",476,0.25429
"477",477,0.255335
"478",478,0.2564
"479",479,0.25748
"480",480,0.25858
"481",481,0.25969
"482",482,0.26083
"483",483,0.26197
"484",484,0.26313
"485",485,0.26429
"486",486,0.265475
"487",487,0.26664
"488",488,0.267815
"489",489,0.268985
"490",490,0.270135
"491",491,0.271315
"492",492,0.27249
"493",493,0.27365
"494",494,0.27483
"495",495,0.276005
"496",496,0.27717
"497",497,0.278335
"498",498,0.279495
"499",499,0.28066
"500",500,0.281805
"501",501,0.28295
"502",502,0.28411
"503",503,0.28524
"504",504,0.28637
"505",505,0.28749
"506",506,0.28858
"507",507,0.289685
"508",508,0.290785
"509",509,0.29188
"510",510,0.29297
"511",511,0.294065
"512",512,0.295135
"513",513,0.2962
"514",514,0.29725
"515",515,0.298285
"516",516,0.29931
"517",517,0.30033
"518",518,0.30135
"519",519,0.30236
"520",520,0.303355
"521",521,0.30434
"522",522,0.305315
"523",523,0.306275
"524",524,0.30723
"525",525,0.308175
"526",526,0.30911
"527",527,0.310025
"528",528,0.31093
"529",529,0.311805
"530",530,0.312685
"531",531,0.31356
"532",532,0.31441
"533",533,0.31526
"534",534,0.31611
"535",535,0.316955
"536",536,0.317775
"537",537,0.318595
"538",538,0.31939
"539",539,0.320155
"540",540,0.320935
"541",541,0.32173
"542",542,0.32249
"543",543,0.323255
"544",544,0.32402
"545",545,0.324765
"546",546,0.325505
"547",547,0.32622
"548",548,0.326915
"549",549,0.32763
"550",550,0.32833
"551",551,0.32902
"552",552,0.329705
"553",553,0.33037
"554",554,0.331005
"555",555,0.331635
"556",556,0.332265
"557",557,0.33289
"558",558,0.333505
"559",559,0.334115
"560",560,0.334725
"561",561,0.33532
"562",562,0.335915
"563",563,0.33649
"564",564,0.337045
"565",565,0.337585
"566",566,0.33811
"567",567,0.33863
"568",568,0.33915
"569",569,0.33967
"570",570,0.34018
"571",571,0.340695
"572",572,0.341225
"573",573,0.34173
"574",574,0.34222
"575",575,0.34272
"576",576,0.3432
"577",577,0.34368
"578",578,0.34417
"579",579,0.344635
"580",580,0.34509
"581",581,0.34554
"582",582,0.34598
"583",583,0.34643
"584",584,0.34688
"585",585,0.34733
"586",586,0.34778
"587",587,0.348215
"588",588,0.348655
"589",589,0.349085
"590",590,0.34949
"591",591,0.349905
"592",592,0.350315
"593",593,0.35073
"594",594,0.351155
"595",595,0.35156
"596",596,0.35195
"597",597,0.35234
"598",598,0.35271
"599",599,0.35308
"600",600,0.353455
"601",601,0.35381
"602",602,0.354145
"603",603,0.35449
"604",604,0.35484
"605",605,0.355175
"606",606,0.35551
"607",607,0.355845
"608",608,0.356175
"609",609,0.356495
"610",610,0.356825
"611",611,0.357145
"612",612,0.357465
"613",613,0.357775
"614",614,0.358065
"615",615,0.35836
"616",616,0.358635
"617",617,0.35891
"618",618,0.359175
"619",619,0.35944
"620",620,0.3597
"621",621,0.35995
"622",622,0.360185
"623",623,0.36042
"624",624,0.360635
"625",625,0.360855
"626",626,0.361085
"627",627,0.3613
"628",628,0.361495
"629",629,0.361715
"630",630,0.36194
"631",631,0.36215
"632",632,0.36236
"633",633,0.362555
"634",634,0.36272
"635",635,0.36289
"636",636,0.36307
"637",637,0.36324
"638",638,0.363395
"639",639,0.363545
"640",640,0.363685
"641",641,0.36382
"642",642,0.363945
"643",643,0.36406
"644",644,0.36417
"645",645,0.36427
"646",646,0.364375
"647",647,0.36446
"648",648,0.36453
"649",649,0.36458
"650",650,0.36461
"651",651,0.364645
"652",652,0.364675
"653",653,0.364685
"654",654,0.36469
"655",655,0.364675
"656",656,0.364635
"657",657,0.364595
"658",658,0.364535
"659",659,0.36447
"660",660,0.36439
"661",661,0.36431
"662",662,0.364235
"663",663,0.364155
"664",664,0.364075
"665",665,0.364005
"666",666,0.36395
"667",667,0.363885
"668",668,0.36383
"669",669,0.36375
"670",670,0.36365
"671",671,0.36355
"672",672,0.36343
"673",673,0.36331
"674",674,0.36321
"675",675,0.36309
"676",676,0.36298
"677",677,0.362845
"678",678,0.36268
"679",679,0.36253
"680",680,0.362395
"681",681,0.362215
"682",682,0.362045
"683",683,0.361845
"684",684,0.3616
"685",685,0.36136
"686",686,0.3611
"687",687,0.36085
"688",688,0.36059
"689",689,0.360335
"690",690,0.36011
"691",691,0.359855
"692",692,0.3596
"693",693,0.35934
"694",694,0.35908
"695",695,0.35881
"696",696,0.358525
"697",697,0.35826
"698",698,0.35799
"699",699,0.35771
"700",700,0.357445
"701",701,0.357155
"702",702,0.35683
"703",703,0.35652
"704",704,0.3562
"705",705,0.3559
"706",706,0.355635
"707",707,0.35533
"708",708,0.355025
"709",709,0.354725
"710",710,0.3544
"711",711,0.354105
"712",712,0.353835
"713",713,0.353545
"714",714,0.35325
"715",715,0.352975
"716",716,0.352705
"717",717,0.35243
"718",718,0.35217
"719",719,0.351895
"720",720,0.3516
"721",721,0.351325
"722",722,0.35106
"723",723,0.350775
"724",724,0.35049
"725",725,0.350195
"726",726,0.349885
"727",727,0.349575
"728",728,0.34927
"729",729,0.34897
"730",730,0.34866
"731",731,0.34836
