"","wavelength","rowan_mean_reflectance"
"319",319,0.7109
"320",320,0.71063
"321",321,0.71036
"322",322,0.71001
"323",323,0.70959
"324",324,0.70916
"325",325,0.70867
"326",326,0.70819
"327",327,0.70769
"328",328,0.70716
"329",329,0.70664
"330",330,0.70606
"331",331,0.70541
"332",332,0.7048
"333",333,0.70419
"334",334,0.70351
"335",335,0.70281
"336",336,0.70209
"337",337,0.70131
"338",338,0.70054
"339",339,0.69979
"340",340,0.69901
"341",341,0.69822
"342",342,0.69741
"343",343,0.6966
"344",344,0.69578
"345",345,0.69496
"346",346,0.69409
"347",347,0.69318
"348",348,0.69232
"349",349,0.69148
"350",350,0.69064
"351",351,0.68981
"352",352,0.68902
"353",353,0.68819
"354",354,0.68734
"355",355,0.68651
"356",356,0.68569
"357",357,0.68488
"358",358,0.68409
"359",359,0.68329
"360",360,0.68248
"361",361,0.68167
"362",362,0.68085
"363",363,0.68002
"364",364,0.67921
"365",365,0.67835
"366",366,0.67749
"367",367,0.67661
"368",368,0.67561
"369",369,0.67456
"370",370,0.67347
"371",371,0.67237
"372",372,0.67131
"373",373,0.67018
"374",374,0.66892
"375",375,0.66758
"376",376,0.66611
"377",377,0.66449
"378",378,0.66283
"379",379,0.66111
"380",380,0.65922
"381",381,0.65728
"382",382,0.65511
"383",383,0.65278
"384",384,0.65029
"385",385,0.64762
"386",386,0.64485
"387",387,0.64195
"388",388,0.63889
"389",389,0.63568
"390",390,0.63231
"391",391,0.62879
"392",392,0.62513
"393",393,0.62136
"394",394,0.61746
"395",395,0.61346
"396",396,0.60935
"397",397,0.60511
"398",398,0.6008
"399",399,0.59643
"400",400,0.59192
"401",401,0.58741
"402",402,0.58286
"403",403,0.5783
"404",404,0.57372
"405",405,0.56917
"406",406,0.56462
"407",407,0.56013
"408",408,0.55564
"409",409,0.55124
"410",410,0.54686
"411",411,0.54263
"412",412,0.53848
"413",413,0.53447
"414",414,0.53056
"415",415,0.52682
"416",416,0.52322
"417",417,0.51969
"418",418,0.51637
"419",419,0.51318
"420",420,0.51011
"421",421,0.50725
"422",422,0.50451
"423",423,0.50189
"424",424,0.49943
"425",425,0.49707
"426",426,0.49486
"427",427,0.4928
"428",428,0.49085
"429",429,0.48904
"430",430,0.4874
"431",431,0.48587
"432",432,0.48444
"433",433,0.48313
"434",434,0.48196
"435",435,0.4809
"436",436,0.47999
"437",437,0.47926
"438",438,0.4786
"439",439,0.47804
"440",440,0.47753
"441",441,0.47711
"442",442,0.47674
"443",443,0.47645
"444",444,0.47621
"445",445,0.47605
"446",446,0.47592
"447",447,0.47585
"448",448,0.47582
"449",449,0.47581
"450",450,0.47581
"451",451,0.47583
"452",452,0.47587
"453",453,0.47595
"454",454,0.47609
"455",455,0.47619
"456",456,0.47631
"457",457,0.47643
"458",458,0.47656
"459",459,0.47676
"460",460,0.477
"461",461,0.47725
"462",462,0.47754
"463",463,0.47786
"464",464,0.47821
"465",465,0.47858
"466",466,0.47904
"467",467,0.47953
"468",468,0.48004
"469",469,0.48062
"470",470,0.48123
"471",471,0.48189
"472",472,0.4826
"473",473,0.48335
"474",474,0.48414
"475",475,0.48497
"476",476,0.48582
"477",477,0.48672
"478",478,0.48769
"479",479,0.48865
"480",480,0.48965
"481",481,0.49065
"482",482,0.49166
"483",483,0.49269
"484",484,0.49374
"485",485,0.4948
"486",486,0.49589
"487",487,0.49697
"488",488,0.49804
"489",489,0.49911
"490",490,0.5002
"491",491,0.50131
"492",492,0.50241
"493",493,0.50349
"494",494,0.50456
"495",495,0.50562
"496",496,0.50667
"497",497,0.50774
"498",498,0.50881
"499",499,0.50989
"500",500,0.51098
"501",501,0.51204
"502",502,0.51306
"503",503,0.51408
"504",504,0.51512
"505",505,0.51618
"506",506,0.51723
"507",507,0.51828
"508",508,0.5193
"509",509,0.5203
"510",510,0.52129
"511",511,0.52227
"512",512,0.52325
"513",513,0.52421
"514",514,0.52517
"515",515,0.52616
"516",516,0.52711
"517",517,0.52803
"518",518,0.52894
"519",519,0.52986
"520",520,0.53074
"521",521,0.53161
"522",522,0.53245
"523",523,0.53329
"524",524,0.5341
"525",525,0.53489
"526",526,0.53567
"527",527,0.53643
"528",528,0.53718
"529",529,0.53793
"530",530,0.53866
"531",531,0.53937
"532",532,0.54009
"533",533,0.5408
"534",534,0.54149
"535",535,0.54219
"536",536,0.54286
"537",537,0.54347
"538",538,0.5441
"539",539,0.54475
"540",540,0.54537
"541",541,0.54598
"542",542,0.54659
"543",543,0.54718
"544",544,0.54773
"545",545,0.54829
"546",546,0.54885
"547",547,0.54939
"548",548,0.54994
"549",549,0.55049
"550",550,0.55104
"551",551,0.55158
"552",552,0.5521
"553",553,0.55261
"554",554,0.55312
"555",555,0.55363
"556",556,0.55414
"557",557,0.55461
"558",558,0.55506
