"","wavelength","syc_mean_reflectance"
"319",319,0.41901
"320",320,0.418595
"321",321,0.418185
"322",322,0.41775
"323",323,0.417325
"324",324,0.41688
"325",325,0.41641
"326",326,0.41594
"327",327,0.41549
"328",328,0.415
"329",329,0.41449
"330",330,0.413975
"331",331,0.413415
"332",332,0.412885
"333",333,0.412375
"334",334,0.41184
"335",335,0.411295
"336",336,0.41074
"337",337,0.410185
"338",338,0.409625
"339",339,0.40907
"340",340,0.408535
"341",341,0.407995
"342",342,0.40744
"343",343,0.406885
"344",344,0.406335
"345",345,0.40579
"346",346,0.40526
"347",347,0.40474
"348",348,0.404195
"349",349,0.403675
"350",350,0.40315
"351",351,0.40263
"352",352,0.402115
"353",353,0.40161
"354",354,0.401095
"355",355,0.400585
"356",356,0.4001
"357",357,0.39959
"358",358,0.399085
"359",359,0.398555
"360",360,0.397995
"361",361,0.39743
"362",362,0.396835
"363",363,0.3962
"364",364,0.39554
"365",365,0.39484
"366",366,0.39409
"367",367,0.393305
"368",368,0.39247
"369",369,0.391595
"370",370,0.39065
"371",371,0.38964
"372",372,0.388575
"373",373,0.387425
"374",374,0.38616
"375",375,0.38482
"376",376,0.383345
"377",377,0.381755
"378",378,0.380055
"379",379,0.37828
"380",380,0.3763
"381",381,0.374175
"382",382,0.371895
"383",383,0.369435
"384",384,0.366835
"385",385,0.36411
"386",386,0.361225
"387",387,0.358155
"388",388,0.35498
"389",389,0.35163
"390",390,0.348165
"391",391,0.34463
"392",392,0.34098
"393",393,0.33725
"394",394,0.33345
"395",395,0.32957
"396",396,0.325665
"397",397,0.321735
"398",398,0.31787
"399",399,0.314055
"400",400,0.31022
"401",401,0.306465
"402",402,0.30278
"403",403,0.2992
"404",404,0.2957
"405",405,0.292355
"406",406,0.28911
"407",407,0.28602
"408",408,0.28304
"409",409,0.28022
"410",410,0.27754
"411",411,0.27501
"412",412,0.27262
"413",413,0.270385
"414",414,0.268295
"415",415,0.26634
"416",416,0.264515
"417",417,0.26283
"418",418,0.26127
"419",419,0.259795
"420",420,0.25844
"421",421,0.25719
"422",422,0.25602
"423",423,0.25497
"424",424,0.254005
"425",425,0.2531
"426",426,0.252315
"427",427,0.2516
"428",428,0.25096
"429",429,0.25039
"430",430,0.24986
"431",431,0.249385
"432",432,0.248955
"433",433,0.248565
"434",434,0.248255
"435",435,0.247995
"436",436,0.24778
"437",437,0.24763
"438",438,0.24749
"439",439,0.247385
"440",440,0.247315
"441",441,0.24727
"442",442,0.24726
"443",443,0.247285
"444",444,0.247325
"445",445,0.24741
"446",446,0.247495
"447",447,0.247595
"448",448,0.24773
"449",449,0.24787
"450",450,0.24802
"451",451,0.248215
"452",452,0.248405
"453",453,0.248605
"454",454,0.248825
"455",455,0.249045
"456",456,0.249305
"457",457,0.2496
"458",458,0.24992
"459",459,0.250275
"460",460,0.250645
"461",461,0.251055
"462",462,0.251495
"463",463,0.251985
"464",464,0.252535
"465",465,0.25315
"466",466,0.25382
"467",467,0.25452
"468",468,0.255245
"469",469,0.256035
"470",470,0.25687
"471",471,0.257755
"472",472,0.258715
"473",473,0.259675
"474",474,0.26066
"475",475,0.26167
"476",476,0.2627
"477",477,0.263755
"478",478,0.264845
"479",479,0.265935
"480",480,0.267055
"481",481,0.268175
"482",482,0.269305
"483",483,0.270435
"484",484,0.27156
"485",485,0.272705
"486",486,0.273865
"487",487,0.27502
"488",488,0.276185
"489",489,0.27734
"490",490,0.27848
"491",491,0.27964
"492",492,0.28082
"493",493,0.282005
"494",494,0.283185
"495",495,0.28435
"496",496,0.285495
"497",497,0.286625
"498",498,0.287765
"499",499,0.288915
"500",500,0.29006
"501",501,0.2912
"502",502,0.292335
"503",503,0.29345
"504",504,0.29458
"505",505,0.295705
"506",506,0.296825
"507",507,0.297965
"508",508,0.299065
"509",509,0.30015
"510",510,0.30123
"511",511,0.302305
"512",512,0.303365
"513",513,0.30441
"514",514,0.305445
"515",515,0.30647
"516",516,0.30749
"517",517,0.3085
"518",518,0.3095
"519",519,0.310495
"520",520,0.31147
"521",521,0.312425
"522",522,0.313385
"523",523,0.314335
"524",524,0.315275
"525",525,0.316215
"526",526,0.317135
"527",527,0.31804
"528",528,0.318945
"529",529,0.319855
"530",530,0.32073
"531",531,0.321595
"532",532,0.322445
"533",533,0.323255
"534",534,0.324085
"535",535,0.324935
"536",536,0.325755
"537",537,0.32656
"538",538,0.327355
"539",539,0.328115
"540",540,0.328875
"541",541,0.32963
"542",542,0.3304
"543",543,0.33114
"544",544,0.33187
"545",545,0.332595
"546",546,0.33328
"547",547,0.333965
"548",548,0.33466
"549",549,0.335355
"550",550,0.336045
"551",551,0.33673
"552",552,0.33738
"553",553,0.33803
"554",554,0.33867
"555",555,0.339285
"556",556,0.3399
"557",557,0.340485
"558",558,0.341055
"559",559,0.34164
"560",560,0.34222
"561",561,0.342815
"562",562,0.34338
"563",563,0.34395
"564",564,0.34451
"565",565,0.345045
"566",566,0.345575
"567",567,0.34609
"568",568,0.34659
"569",569,0.347095
"570",570,0.34759
"571",571,0.348085
"572",572,0.348565
"573",573,0.349045
"574",574,0.349515
"575",575,0.349985
"576",576,0.35047
"577",577,0.35093
"578",578,0.35138
"579",579,0.35182
"580",580,0.35224
"581",581,0.35267
"582",582,0.353105
"583",583,0.353525
"584",584,0.35394
"585",585,0.354345
"586",586,0.354725
"587",587,0.35512
"588",588,0.35553
"589",589,0.35592
"590",590,0.35631
"591",591,0.35669
"592",592,0.357045
"593",593,0.35741
"594",594,0.357775
"595",595,0.35813
"596",596,0.35848
"597",597,0.358815
"598",598,0.359125
"599",599,0.359465
"600",600,0.35983
"601",601,0.360165
"602",602,0.360505
"603",603,0.36082
"604",604,0.361105
"605",605,0.361405
"606",606,0.3617
"607",607,0.36199
"608",608,0.362275
"609",609,0.36256
"610",610,0.36284
"611",611,0.363115
"612",612,0.36339
"613",613,0.363655
"614",614,0.36389
"615",615,0.36415
"616",616,0.364405
"617",617,0.36465
"618",618,0.3649
"619",619,0.36513
"620",620,0.36534
"621",621,0.36554
"622",622,0.36573
"623",623,0.36593
"624",624,0.366125
"625",625,0.366325
"626",626,0.366535
"627",627,0.36673
"628",628,0.36691
"629",629,0.367095
"630",630,0.367265
"631",631,0.367445
"632",632,0.36763
"633",633,0.3678
"634",634,0.36796
"635",635,0.36812
"636",636,0.368275
"637",637,0.36842
"638",638,0.368555
"639",639,0.368685
"640",640,0.368815
"641",641,0.36893
"642",642,0.36905
"643",643,0.369155
"644",644,0.369235
"645",645,0.36932
"646",646,0.369405
"647",647,0.369475
"648",648,0.36954
"649",649,0.36959
"650",650,0.36962
"651",651,0.36965
"652",652,0.36967
"653",653,0.36968
"654",654,0.36968
"655",655,0.36967
"656",656,0.369635
"657",657,0.369615
"658",658,0.369605
"659",659,0.369575
"660",660,0.36954
"661",661,0.3695
"662",662,0.369455
"663",663,0.36939
"664",664,0.369305
"665",665,0.369245
"666",666,0.36919
"667",667,0.36912
"668",668,0.369075
"669",669,0.369005
"670",670,0.368915
"671",671,0.368835
"672",672,0.36877
"673",673,0.36868
"674",674,0.368585
"675",675,0.36846
"676",676,0.368315
"677",677,0.36816
"678",678,0.367965
"679",679,0.36779
"680",680,0.367615
"681",681,0.36743
"682",682,0.367265
"683",683,0.36705
"684",684,0.366795
"685",685,0.366555
"686",686,0.36631
"687",687,0.36606
"688",688,0.365815
"689",689,0.365575
