"","wavelength","sitka_mean_reflectance"
"1",1,0.597538571428571
"2",2,0.596881428571429
"3",3,0.597724285714286
"4",4,0.598502857142857
"5",5,0.599212857142857
"6",6,0.600017142857143
"7",7,0.600952857142857
"8",8,0.601728571428571
"9",9,0.602387142857143
"10",10,0.603225714285714
"11",11,0.60401
"12",12,0.604742857142857
"13",13,0.605667142857143
"14",14,0.606605714285714
"15",15,0.607411428571429
"16",16,0.608075714285714
"17",17,0.60888
"18",18,0.609674285714286
"19",19,0.610482857142857
"20",20,0.6114
"21",21,0.612271428571429
"22",22,0.61316
"23",23,0.613882857142857
"24",24,0.614707142857143
"25",25,0.615464285714286
"26",26,0.616115714285714
"27",27,0.616888571428571
"28",28,0.617622857142857
"29",29,0.61835
"30",30,0.619088571428571
"31",31,0.619868571428571
"32",32,0.620548571428571
"33",33,0.621138571428571
"34",34,0.621834285714286
"35",35,0.62254
"36",36,0.623215714285714
"37",37,0.623988571428571
"38",38,0.624687142857143
"39",39,0.625278571428571
"40",40,0.625881428571429
"41",41,0.626465714285714
"42",42,0.62708
"43",43,0.627617142857143
"44",44,0.628145714285714
"45",45,0.628725714285714
"46",46,0.629231428571429
"47",47,0.629754285714286
"48",48,0.630298571428571
"49",49,0.630855714285714
"50",50,0.631317142857143
"51",51,0.631732857142857
"52",52,0.632158571428571
"53",53,0.632598571428571
"54",54,0.632994285714286
"55",55,0.633448571428571
"56",56,0.633887142857143
"57",57,0.634267142857143
"58",58,0.63469
"59",59,0.634984285714286
"60",60,0.635264285714286
"61",61,0.635561428571428
"62",62,0.635845714285714
"63",63,0.636037142857143
"64",64,0.63629
"65",65,0.636544285714286
"66",66,0.636805714285714
"67",67,0.637062857142857
"68",68,0.637242857142857
"69",69,0.637454285714286
"70",70,0.637577142857143
"71",71,0.637627142857143
"72",72,0.637802857142857
"73",73,0.637931428571429
"74",74,0.637981428571429
"75",75,0.638082857142857
"76",76,0.638105714285714
"77",77,0.638005714285714
"78",78,0.637998571428571
"79",79,0.638041428571429
"80",80,0.638022857142857
"81",81,0.637988571428571
"82",82,0.63799
"83",83,0.637901428571429
"84",84,0.637777142857143
"85",85,0.637668571428571
"86",86,0.637527142857143
"87",87,0.637352857142857
"88",88,0.63711
"89",89,0.63685
"90",90,0.636547142857143
"91",91,0.636262857142857
"92",92,0.635951428571429
"93",93,0.635624285714286
"94",94,0.635295714285714
"95",95,0.634972857142857
"96",96,0.634564285714286
"97",97,0.634164285714286
"98",98,0.633815714285714
"99",99,0.633378571428571
"100",100,0.632967142857143
"101",101,0.632548571428571
"102",102,0.632024285714286
"103",103,0.631491428571429
"104",104,0.630935714285714
"105",105,0.630307142857143
"106",106,0.629738571428571
"107",107,0.629205714285714
"108",108,0.628604285714286
"109",109,0.628015714285714
"110",110,0.627365714285714
"111",111,0.626654285714286
"112",112,0.625944285714286
"113",113,0.625201428571429
"114",114,0.624414285714286
"115",115,0.623621428571429
"116",116,0.622785714285714
"117",117,0.6219
"118",118,0.620938571428571
"119",119,0.619887142857143
"120",120,0.618778571428571
"121",121,0.617555714285714
"122",122,0.616261428571429
"123",123,0.614857142857143
"124",124,0.61341
"125",125,0.611754285714286
"126",126,0.610005714285714
"127",127,0.608062857142857
"128",128,0.605981428571429
"129",129,0.603662857142857
"130",130,0.601165714285714
"131",131,0.598481428571429
"132",132,0.595507142857143
"133",133,0.592388571428571
"134",134,0.589108571428571
"135",135,0.585667142857143
"136",136,0.582028571428571
"137",137,0.578191428571429
"138",138,0.574261428571429
"139",139,0.570114285714286
"140",140,0.565971428571429
"141",141,0.561707142857143
"142",142,0.557471428571429
"143",143,0.553135714285714
"144",144,0.548877142857143
"145",145,0.544598571428571
"146",146,0.540414285714286
"147",147,0.536295714285714
"148",148,0.53231
"149",149,0.528532857142857
"150",150,0.52489
"151",151,0.521451428571429
"152",152,0.51818
"153",153,0.515121428571429
"154",154,0.512227142857143
"155",155,0.509568571428571
"156",156,0.50714
"157",157,0.504887142857143
"158",158,0.502841428571429
"159",159,0.500952857142857
"160",160,0.499258571428571
"161",161,0.497704285714286
"162",162,0.496358571428571
"163",163,0.495091428571429
"164",164,0.493942857142857
"165",165,0.492934285714286
"166",166,0.491985714285714
"167",167,0.491138571428571
"168",168,0.490341428571429
"169",169,0.489651428571429
"170",170,0.488962857142857
"171",171,0.488341428571429
"172",172,0.487707142857143
"173",173,0.487081428571429
"174",174,0.486485714285714
"175",175,0.485948571428571
"176",176,0.485354285714286
"177",177,0.484757142857143
"178",178,0.484164285714286
"179",179,0.483544285714286
"180",180,0.482927142857143
"181",181,0.482314285714286
"182",182,0.48173
"183",183,0.481114285714286
"184",184,0.480472857142857
"185",185,0.47987
"186",186,0.479268571428571
"187",187,0.478704285714286
"188",188,0.478151428571429
"189",189,0.477648571428571
"190",190,0.477158571428571
"191",191,0.476738571428571
"192",192,0.476361428571429
"193",193,0.476027142857143
"194",194,0.475727142857143
"195",195,0.475494285714286
"196",196,0.475311428571429
"197",197,0.475171428571429
"198",198,0.475078571428571
"199",199,0.475014285714286
"200",200,0.475011428571429
"201",201,0.475024285714286
"202",202,0.475127142857143
"203",203,0.475304285714286
"204",204,0.475498571428571
"205",205,0.475732857142857
"206",206,0.476015714285714
"207",207,0.476342857142857
"208",208,0.476701428571429
"209",209,0.477105714285714
"210",210,0.477545714285714
"211",211,0.477998571428571
"212",212,0.478525714285714
"213",213,0.479128571428571
"214",214,0.479748571428571
"215",215,0.4804
"216",216,0.481105714285714
"217",217,0.481828571428571
"218",218,0.482558571428571
