"","wavelength","ash_mean_reflectance"
"319",319,0.72348
"320",320,0.72297
"321",321,0.72248
"322",322,0.72196
"323",323,0.72143
"324",324,0.72087
"325",325,0.72027
"326",326,0.71967
"327",327,0.71906
"328",328,0.71839
"329",329,0.71772
"330",330,0.71702
"331",331,0.71623
"332",332,0.71547
"333",333,0.71472
"334",334,0.71391
"335",335,0.71306
"336",336,0.71225
"337",337,0.71138
"338",338,0.7105
"339",339,0.70963
"340",340,0.70877
"341",341,0.70791
"342",342,0.70701
"343",343,0.7061
"344",344,0.7051
"345",345,0.70414
"346",346,0.70321
"347",347,0.70219
"348",348,0.70122
"349",349,0.70026
"350",350,0.69925
"351",351,0.6983
"352",352,0.69742
"353",353,0.69651
"354",354,0.69559
"355",355,0.69467
"356",356,0.69376
"357",357,0.69285
"358",358,0.69194
"359",359,0.691
"360",360,0.69009
"361",361,0.68913
"362",362,0.68813
"363",363,0.68719
"364",364,0.68627
"365",365,0.68531
"366",366,0.6843
"367",367,0.68329
"368",368,0.68226
"369",369,0.68121
"370",370,0.68017
"371",371,0.6791
"372",372,0.67792
"373",373,0.67667
"374",374,0.67533
"375",375,0.6739
"376",376,0.67239
"377",377,0.67082
"378",378,0.66913
"379",379,0.66737
"380",380,0.66542
"381",381,0.66334
"382",382,0.66109
"383",383,0.65868
"384",384,0.65612
"385",385,0.65344
"386",386,0.65059
"387",387,0.64755
"388",388,0.64439
"389",389,0.64102
"390",390,0.63748
"391",391,0.63381
"392",392,0.62994
"393",393,0.62595
"394",394,0.62181
"395",395,0.61747
"396",396,0.61303
"397",397,0.60853
"398",398,0.60398
"399",399,0.5994
"400",400,0.59471
"401",401,0.58994
"402",402,0.58513
"403",403,0.58031
"404",404,0.57543
"405",405,0.57061
"406",406,0.56578
"407",407,0.56101
"408",408,0.55624
"409",409,0.55156
"410",410,0.54693
"411",411,0.54242
"412",412,0.53796
"413",413,0.53368
"414",414,0.52951
"415",415,0.52547
"416",416,0.52159
"417",417,0.51783
"418",418,0.51423
"419",419,0.51075
"420",420,0.5074
"421",421,0.50424
"422",422,0.50122
"423",423,0.49839
"424",424,0.49572
"425",425,0.49315
"426",426,0.49073
"427",427,0.48844
"428",428,0.48626
"429",429,0.48425
"430",430,0.48237
"431",431,0.48061
"432",432,0.479
"433",433,0.47751
"434",434,0.47614
"435",435,0.47488
"436",436,0.47375
"437",437,0.47273
"438",438,0.47182
"439",439,0.47103
"440",440,0.47031
"441",441,0.46972
"442",442,0.46915
"443",443,0.46866
"444",444,0.46823
"445",445,0.46785
"446",446,0.46755
"447",447,0.46731
"448",448,0.46716
"449",449,0.46705
"450",450,0.46698
"451",451,0.46696
"452",452,0.46696
"453",453,0.46699
"454",454,0.46704
"455",455,0.4671
"456",456,0.46717
"457",457,0.46724
"458",458,0.46738
"459",459,0.46756
"460",460,0.46777
"461",461,0.46801
"462",462,0.4683
"463",463,0.46859
"464",464,0.46891
"465",465,0.46932
"466",466,0.46979
"467",467,0.47029
"468",468,0.47083
"469",469,0.47144
"470",470,0.47211
"471",471,0.4728
"472",472,0.47356
"473",473,0.47436
"474",474,0.47515
"475",475,0.47604
"476",476,0.47704
"477",477,0.47801
"478",478,0.47903
"479",479,0.48006
"480",480,0.48106
"481",481,0.48213
"482",482,0.48325
"483",483,0.48436
"484",484,0.48552
"485",485,0.48665
"486",486,0.48777
"487",487,0.48892
"488",488,0.49008
"489",489,0.4912
"490",490,0.49233
"491",491,0.49348
"492",492,0.49462
"493",493,0.49577
"494",494,0.49695
"495",495,0.49812
"496",496,0.49927
"497",497,0.50041
"498",498,0.50156
"499",499,0.5027
"500",500,0.50383
"501",501,0.50497
"502",502,0.50611
"503",503,0.50722
"504",504,0.50836
"505",505,0.5095
"506",506,0.5106
"507",507,0.51171
"508",508,0.51283
"509",509,0.51393
"510",510,0.51504
"511",511,0.51617
"512",512,0.51725
"513",513,0.51833
"514",514,0.51939
"515",515,0.52042
"516",516,0.52148
"517",517,0.52255
"518",518,0.52357
"519",519,0.52459
"520",520,0.52559
"521",521,0.52656
"522",522,0.52752
"523",523,0.52847
"524",524,0.52941
"525",525,0.53035
"526",526,0.53125
"527",527,0.53216
"528",528,0.53304
"529",529,0.53388
"530",530,0.53469
"531",531,0.53548
"532",532,0.53628
"533",533,0.53705
"534",534,0.53782
"535",535,0.53861
"536",536,0.53936
"537",537,0.54009
"538",538,0.54081
"539",539,0.54153
"540",540,0.54222
"541",541,0.54291
"542",542,0.54359
"543",543,0.54426
"544",544,0.54492
"545",545,0.54556
"546",546,0.54618
"547",547,0.54677
"548",548,0.54737
"549",549,0.54802
"550",550,0.54865
"551",551,0.54926
"552",552,0.54989
"553",553,0.5505
"554",554,0.55106
"555",555,0.55166
"556",556,0.55222
"557",557,0.55272
"558",558,0.55326
"559",559,0.55379
"560",560,0.55429
"561",561,0.55484
"562",562,0.55537
"563",563,0.55586
"564",564,0.55637
"565",565,0.55685
"566",566,0.55732
"567",567,0.55783
"568",568,0.55836
"569",569,0.55888
"570",570,0.55942
"571",571,0.55995
"572",572,0.56047
"573",573,0.56099
"574",574,0.56151
"575",575,0.56205
"576",576,0.56258
"577",577,0.56311
"578",578,0.56367
"579",579,0.56423
"580",580,0.56477
"581",581,0.56533
"582",582,0.56593
"583",583,0.56649
"584",584,0.56703
"585",585,0.56758
"586",586,0.56812
"587",587,0.5687
"588",588,0.56932
"589",589,0.56991
"590",590,0.57053
"591",591,0.57111
"592",592,0.57166
"593",593,0.57225
"594",594,0.57288
"595",595,0.57349
"596",596,0.57411
"597",597,0.57473
"598",598,0.57533
"599",599,0.57595
"600",600,0.5766
"601",601,0.57722
"602",602,0.57784
"603",603,0.57844
"604",604,0.57902
"605",605,0.5796
"606",606,0.58014
"607",607,0.58071
"608",608,0.58129
"609",609,0.58187
"610",610,0.58248
"611",611,0.58306
"612",612,0.58363
"613",613,0.58418
"614",614,0.58473
"615",615,0.58526
"616",616,0.58579
"617",617,0.58629
"618",618,0.58674
"619",619,0.58722
"620",620,0.58769
"621",621,0.58816
"622",622,0.58869
"623",623,0.58915
"624",624,0.58956
"625",625,0.58999
"626",626,0.59039
"627",627,0.59082
"628",628,0.59128
"629",629,0.59172
"630",630,0.59217
"631",631,0.5926
"632",632,0.593
"633",633,0.59342
"634",634,0.59385
"635",635,0.59424
"636",636,0.59463
"637",637,0.59501
"638",638,0.59536
"639",639,0.59571
"640",640,0.59606
"641",641,0.59641
"642",642,0.59677
"643",643,0.59707
"644",644,0.59734
"645",645,0.59758
"646",646,0.59774
"647",647,0.59789
"648",648,0.59802
"649",649,0.59811
"650",650,0.59817
"651",651,0.59817
"652",652,0.5981
"653",653,0.59803
"654",654,0.5979
"655",655,0.59776
"656",656,0.59764
"657",657,0.59744
"658",658,0.59717
"659",659,0.5969
"660",660,0.5966
"661",661,0.59626
"662",662,0.5959
"663",663,0.59552
"664",664,0.59509
"665",665,0.59466
"666",666,0.59424
"667",667,0.59379
"668",668,0.59332
"669",669,0.59284
"670",670,0.59235
"671",671,0.59183
"672",672,0.59132
"673",673,0.59075
"674",674,0.59014
"675",675,0.5895
"676",676,0.58881
"677",677,0.5881
"678",678,0.58738
"679",679,0.58661
"680",680,0.58578
"681",681,0.58496
"682",682,0.58412
"683",683,0.58327
"684",684,0.58242
"685",685,0.58154
"686",686,0.58061
"687",687,0.57969
"688",688,0.57875
"689",689,0.57783
"690",690,0.57694
"691",691,0.57604
"692",692,0.57516
"693",693,0.57427
"694",694,0.5734
"695",695,0.57253
"696",696,0.57166
"697",697,0.5708
"698",698,0.56994
"699",699,0.56913
"700",700,0.56836
"701",701,0.56757
"702",702,0.5668
"703",703,0.56603
"704",704,0.56525
"705",705,0.56452
"706",706,0.56385
"707",707,0.56315
"708",708,0.56248
"709",709,0.5618
"710",710,0.56111
"711",711,0.56047
"712",712,0.55986
"713",713,0.55927
"714",714,0.55871
"715",715,0.55815
"716",716,0.5576
"717",717,0.55709
"718",718,0.55661
"719",719,0.55611
"720",720,0.55562
"721",721,0.55514
"722",722,0.55469
"723",723,0.55428
"724",724,0.55391
