"","wavelength","alder_mean_reflectance"
"1",1,0.459221666666667
"2",2,0.459145
"3",3,0.459066666666667
"4",4,0.459118333333333
"5",5,0.45936
"6",6,0.459436666666667
"7",7,0.459485
"8",8,0.459518333333333
"9",9,0.459491666666667
"10",10,0.459358333333333
"11",11,0.459375
"12",12,0.459471666666667
"13",13,0.459503333333333
"14",14,0.459595
"15",15,0.459648333333333
"16",16,0.459668333333333
"17",17,0.459725
"18",18,0.459786666666667
"19",19,0.459848333333333
"20",20,0.459965
"21",21,0.460021666666667
"22",22,0.460071666666667
"23",23,0.460076666666667
"24",24,0.460011666666667
"25",25,0.459881666666667
"26",26,0.45978
"27",27,0.45989
"28",28,0.459981666666667
"29",29,0.460073333333333
"30",30,0.460205
"31",31,0.460408333333333
"32",32,0.46042
"33",33,0.460345
"34",34,0.460348333333333
"35",35,0.46028
"36",36,0.460256666666667
"37",37,0.460308333333333
"38",38,0.460341666666667
"39",39,0.460405
"40",40,0.460418333333333
"41",41,0.460385
"42",42,0.460458333333333
"43",43,0.460506666666667
"44",44,0.460438333333333
"45",45,0.460361666666667
"46",46,0.460365
"47",47,0.460391666666667
"48",48,0.460418333333333
"49",49,0.460446666666667
"50",50,0.460515
"51",51,0.460571666666667
"52",52,0.460558333333333
"53",53,0.460521666666667
"54",54,0.46055
"55",55,0.460508333333333
"56",56,0.460396666666667
"57",57,0.460405
"58",58,0.460391666666667
"59",59,0.460336666666667
"60",60,0.460348333333333
"61",61,0.460351666666667
"62",62,0.460325
"63",63,0.460321666666667
"64",64,0.460321666666667
"65",65,0.460338333333333
"66",66,0.460401666666667
"67",67,0.460378333333333
"68",68,0.460356666666667
"69",69,0.460351666666667
"70",70,0.460303333333333
"71",71,0.460225
"72",72,0.460188333333333
"73",73,0.460205
"74",74,0.460156666666667
"75",75,0.460128333333333
"76",76,0.460108333333333
"77",77,0.460103333333333
"78",78,0.46005
"79",79,0.459966666666667
"80",80,0.459926666666667
"81",81,0.459913333333333
"82",82,0.459901666666667
"83",83,0.459878333333333
"84",84,0.459856666666667
"85",85,0.459791666666667
"86",86,0.459696666666667
"87",87,0.459665
"88",88,0.459636666666667
"89",89,0.459586666666667
"90",90,0.459506666666667
"91",91,0.45947
"92",92,0.459461666666667
"93",93,0.459423333333333
"94",94,0.4594
"95",95,0.459368333333333
"96",96,0.459301666666667
"97",97,0.45921
"98",98,0.459078333333333
"99",99,0.459006666666667
"100",100,0.458963333333333
"101",101,0.458881666666667
"102",102,0.458875
"103",103,0.458875
"104",104,0.458815
"105",105,0.458703333333333
"106",106,0.458628333333333
"107",107,0.458535
"108",108,0.458456666666667
"109",109,0.4584
"110",110,0.458338333333333
"111",111,0.45829
"112",112,0.458221666666667
"113",113,0.458133333333333
"114",114,0.458068333333333
"115",115,0.458005
"116",116,0.457911666666667
"117",117,0.457816666666667
"118",118,0.45771
"119",119,0.457608333333333
"120",120,0.457501666666667
"121",121,0.457386666666667
"122",122,0.457266666666667
"123",123,0.457146666666667
"124",124,0.45703
"125",125,0.456866666666667
"126",126,0.456691666666667
"127",127,0.456518333333333
"128",128,0.456326666666667
"129",129,0.456123333333333
"130",130,0.455921666666667
"131",131,0.45567
"132",132,0.455348333333333
"133",133,0.454983333333333
"134",134,0.454675
"135",135,0.454373333333333
"136",136,0.454046666666667
"137",137,0.45378
"138",138,0.45341
"139",139,0.452948333333333
"140",140,0.452521666666667
"141",141,0.452073333333333
"142",142,0.451625
"143",143,0.451183333333333
"144",144,0.450748333333333
"145",145,0.450326666666667
"146",146,0.449875
"147",147,0.449368333333333
"148",148,0.44891
"149",149,0.44848
"150",150,0.448031666666667
"151",151,0.447631666666667
"152",152,0.447298333333333
"153",153,0.446951666666667
"154",154,0.446578333333333
"155",155,0.446273333333333
"156",156,0.446048333333333
"157",157,0.445785
"158",158,0.44553
"159",159,0.445305
"160",160,0.44507
"161",161,0.44487
"162",162,0.444711666666667
"163",163,0.444555
"164",164,0.44441
"165",165,0.444265
"166",166,0.44415
"167",167,0.44406
"168",168,0.443966666666667
"169",169,0.443905
"170",170,0.443808333333333
"171",171,0.443693333333333
"172",172,0.443586666666667
"173",173,0.443445
"174",174,0.443351666666667
"175",175,0.44329
"176",176,0.443225
"177",177,0.443188333333333
"178",178,0.443125
"179",179,0.44304
"180",180,0.442961666666667
"181",181,0.442878333333333
"182",182,0.442775
"183",183,0.442725
"184",184,0.44271
"185",185,0.442658333333333
"186",186,0.442626666666667
"187",187,0.442561666666667
"188",188,0.44244
"189",189,0.442371666666667
"190",190,0.442308333333333
"191",191,0.442265
"192",192,0.442265
"193",193,0.442236666666667
"194",194,0.442205
"195",195,0.44218
"196",196,0.442136666666667
"197",197,0.442118333333333
"198",198,0.442103333333333
"199",199,0.442106666666667
"200",200,0.442121666666667
"201",201,0.442155
"202",202,0.442161666666667
"203",203,0.442166666666667
"204",204,0.44219
"205",205,0.442193333333333
"206",206,0.442235
"207",207,0.442325
"208",208,0.442381666666667
"209",209,0.442445
"210",210,0.442493333333333
"211",211,0.442508333333333
"212",212,0.442548333333333
"213",213,0.442593333333333
"214",214,0.442646666666667
"215",215,0.442698333333333
"216",216,0.44278
"217",217,0.442871666666667
"218",218,0.442936666666667
"219",219,0.443005
"220",220,0.443078333333333
"221",221,0.443145
"222",222,0.443191666666667
"223",223,0.443271666666667
"224",224,0.443385
"225",225,0.443465
"226",226,0.443548333333333
"227",227,0.443616666666667
"228",228,0.443646666666667
"229",229,0.4437
"230",230,0.44377
"231",231,0.443828333333333
"232",232,0.443871666666667
