"","wavelength","pasture_mean_reflectance"
"319",319,0.642517
"320",320,0.63978
"321",321,0.637006
"322",322,0.634152
"323",323,0.631228
"324",324,0.628281
"325",325,0.625259
"326",326,0.622241
"327",327,0.619215
"328",328,0.616157
"329",329,0.613064
"330",330,0.609974
"331",331,0.606876
"332",332,0.603757
"333",333,0.600597
"334",334,0.59749
"335",335,0.594399
"336",336,0.591305
"337",337,0.588242
"338",338,0.585244
"339",339,0.582216
"340",340,0.579231
"341",341,0.576333
"342",342,0.573427
"343",343,0.570604
"344",344,0.567833
"345",345,0.565066
"346",346,0.5624
"347",347,0.559764
"348",348,0.557173
"349",349,0.554652
"350",350,0.552205
"351",351,0.549773
"352",352,0.547396
"353",353,0.545034
"354",354,0.54272
"355",355,0.540385
"356",356,0.538074
"357",357,0.535737
"358",358,0.533396
"359",359,0.530984
"360",360,0.528582
"361",361,0.526113
"362",362,0.523536
"363",363,0.5209
"364",364,0.518149
"365",365,0.515297
"366",366,0.512321
"367",367,0.509148
"368",368,0.505831
"369",369,0.502316
"370",370,0.498584
"371",371,0.494737
"372",372,0.490621
"373",373,0.48625
"374",374,0.481609
"375",375,0.476703
"376",376,0.471461
"377",377,0.465936
"378",378,0.460076
"379",379,0.453897
"380",380,0.447406
"381",381,0.440585
"382",382,0.433461
"383",383,0.425999
"384",384,0.418298
"385",385,0.41034
"386",386,0.402167
"387",387,0.393773
"388",388,0.385347
"389",389,0.376777
"390",390,0.368153
"391",391,0.359608
"392",392,0.350987
"393",393,0.342475
"394",394,0.334096
"395",395,0.32576
"396",396,0.317697
"397",397,0.309826
"398",398,0.302178
"399",399,0.294874
"400",400,0.287756
"401",401,0.280962
"402",402,0.274511
"403",403,0.268362
"404",404,0.262519
"405",405,0.257023
"406",406,0.25186
"407",407,0.246982
"408",408,0.242411
"409",409,0.238121
"410",410,0.234137
"411",411,0.230394
"412",412,0.226952
"413",413,0.223723
"414",414,0.220737
"415",415,0.217949
"416",416,0.215391
"417",417,0.213004
"418",418,0.210791
"419",419,0.20877
