"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"11",11,0.494894907407407,0.60401,0.803111,0.569534615384615,0.536185,0.636115833333333,0.69499,0.72474,0.459375,0.5085825,0.391516666666667,0.451925,0.43973,0.38941,0.64659,0.442185
"12",12,0.495036388888889,0.604742857142857,0.804122,0.570093846153846,0.536489444444444,0.636943888888889,0.695613888888889,0.72475,0.459471666666667,0.508759166666667,0.391726666666667,0.451985,0.43973,0.38937,0.64717,0.442365
"13",13,0.495148796296296,0.605667142857143,0.805083,0.570694615384615,0.536726666666667,0.637904444444444,0.696127222222222,0.72509,0.459503333333333,0.508905833333333,0.39179,0.451775,0.43998,0.38932,0.64747,0.442505
"14",14,0.495199259259259,0.606605714285714,0.806093,0.571363846153846,0.537001666666667,0.638825555555556,0.696634444444444,0.72524,0.459595,0.508996666666667,0.391696666666667,0.451705,0.44016,0.38915,0.6478,0.44245
"15",15,0.495289444444444,0.607411428571429,0.807196,0.572018461538462,0.537302777777778,0.639709166666667,0.697196666666667,0.72543,0.459648333333333,0.509113333333333,0.391683333333333,0.451695,0.44027,0.3891,0.64825,0.442415
"16",16,0.49537,0.608075714285714,0.808455,0.572706153846154,0.537601666666667,0.640648333333333,0.697809444444444,0.72569,0.459668333333333,0.509211666666667,0.39167,0.45159,0.44041,0.38907,0.64883,0.44219
"17",17,0.495468240740741,0.60888,0.809604,0.573353846153846,0.537930555555556,0.641561111111111,0.698342777777778,0.72591,0.459725,0.509359166666667,0.39167,0.45165,0.44045,0.38905,0.64923,0.44217
"18",18,0.49558462962963,0.609674285714286,0.81075,0.574015384615385,0.538351666666667,0.642389722222222,0.698855555555556,0.7261,0.459786666666667,0.509561666666667,0.391663333333333,0.451935,0.44032,0.38907,0.64956,0.442265
"19",19,0.49570537037037,0.610482857142857,0.811877,0.574626153846154,0.538647222222222,0.643236388888889,0.699408333333333,0.72631,0.459848333333333,0.509708333333333,0.391666666666667,0.45209,0.44029,0.38908,0.65002,0.442335
"20",20,0.495826388888889,0.6114,0.812949,0.575163846153846,0.538819444444444,0.644084166666667,0.699937777777778,0.72646,0.459965,0.5098675,0.39171,0.452265,0.44028,0.389,0.65042,0.44247
"21",21,0.495950925925926,0.612271428571429,0.814017,0.575753846153846,0.539117777777778,0.644955277777778,0.700483333333333,0.72662,0.460021666666667,0.510005,0.391686666666667,0.452395,0.44029,0.38907,0.65089,0.44258
"22",22,0.496100925925926,0.61316,0.815052,0.576339230769231,0.539463333333333,0.645791111111111,0.701058333333333,0.72685,0.460071666666667,0.510136666666667,0.39158,0.45254,0.44033,0.3892,0.65151,0.44269
"23",23,0.496243148148148,0.613882857142857,0.816231,0.576928461538462,0.539736666666667,0.646691666666667,0.701686111111111,0.72704,0.460076666666667,0.510153333333333,0.391633333333333,0.452565,0.44033,0.38947,0.65217,0.44275
"24",24,0.496346759259259,0.614707142857143,0.817288,0.577617692307692,0.540011111111111,0.647626388888889,0.702207777777778,0.72706,0.460011666666667,0.5102775,0.391656666666667,0.452555,0.44033,0.38967,0.65275,0.44281
"25",25,0.496406203703704,0.615464285714286,0.818246,0.578246153846154,0.540273333333333,0.648536388888889,0.702671666666667,0.72708,0.459881666666667,0.510449166666667,0.39159,0.45259,0.44048,0.38972,0.65314,0.442725
"26",26,0.496421666666667,0.616115714285714,0.819245,0.578841538461538,0.540408333333333,0.649373611111111,0.703193333333333,0.72686,0.45978,0.510576666666667,0.391543333333333,0.452755,0.44055,0.38961,0.6536,0.44252
"27",27,0.496466851851852,0.616888571428571,0.820169,0.579502307692308,0.540581111111111,0.650191944444444,0.703612222222222,0.7268,0.45989,0.510736666666667,0.39149,0.45293,0.44046,0.38937,0.65422,0.442305
"28",28,0.496516851851852,0.617622857142857,0.821215,0.580155384615385,0.540854444444444,0.651029166666667,0.704049444444444,0.7271,0.459981666666667,0.51082,0.39143,0.45293,0.4405,0.38914,0.65446,0.44229
"29",29,0.496603518518519,0.61835,0.82239,0.580798461538462,0.541170555555556,0.651918055555556,0.704550555555556,0.72726,0.460073333333333,0.510901666666667,0.391476666666667,0.45292,0.44041,0.38907,0.65482,0.4425
"30",30,0.496723981481482,0.619088571428571,0.823514,0.581390769230769,0.541487222222222,0.652749444444444,0.705031111111111,0.7275,0.460205,0.511030833333333,0.39149,0.45289,0.44041,0.38908,0.65532,0.44259
"31",31,0.4969075,0.619868571428571,0.824762,0.581975384615385,0.541864444444444,0.653585,0.705512777777778,0.72797,0.460408333333333,0.511204166666667,0.39154,0.45264,0.44058,0.38922,0.65582,0.442785
"32",32,0.497030092592593,0.620548571428571,0.825792,0.582563846153846,0.542143888888889,0.65439,0.705992777777778,0.72825,0.46042,0.511325833333333,0.39154,0.452595,0.44061,0.38932,0.65631,0.4429
"33",33,0.497188333333333,0.621138571428571,0.826672,0.583113076923077,0.542406666666667,0.655108611111111,0.706471111111111,0.72849,0.460345,0.511468333333333,0.391506666666667,0.45272,0.44055,0.38956,0.65711,0.442945
