"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"11",11000,494.894907407407,604.01,803.111,569.534615384615,536.185,636.115833333333,694.99,724.74,459.375,508.5825,391.516666666667,451.925,439.73,389.41,646.59,442.185
"12",12000,495.036388888889,604.742857142857,804.122,570.093846153846,536.489444444444,636.943888888889,695.613888888889,724.75,459.471666666667,508.759166666667,391.726666666667,451.985,439.73,389.37,647.17,442.365
"13",13000,495.148796296296,605.667142857143,805.083,570.694615384615,536.726666666667,637.904444444444,696.127222222222,725.09,459.503333333333,508.905833333333,391.79,451.775,439.98,389.32,647.47,442.505
"14",14000,495.199259259259,606.605714285714,806.093,571.363846153846,537.001666666667,638.825555555556,696.634444444444,725.24,459.595,508.996666666667,391.696666666667,451.705,440.16,389.15,647.8,442.45
"15",15000,495.289444444444,607.411428571429,807.196,572.018461538462,537.302777777778,639.709166666667,697.196666666667,725.43,459.648333333333,509.113333333333,391.683333333333,451.695,440.27,389.1,648.25,442.415
"16",16000,495.37,608.075714285714,808.455,572.706153846154,537.601666666667,640.648333333333,697.809444444444,725.69,459.668333333333,509.211666666667,391.67,451.59,440.41,389.07,648.83,442.19
"17",17000,495.468240740741,608.88,809.604,573.353846153846,537.930555555556,641.561111111111,698.342777777778,725.91,459.725,509.359166666667,391.67,451.65,440.45,389.05,649.23,442.17
"18",18000,495.58462962963,609.674285714286,810.75,574.015384615385,538.351666666667,642.389722222222,698.855555555556,726.1,459.786666666667,509.561666666667,391.663333333333,451.935,440.32,389.07,649.56,442.265
"19",19000,495.70537037037,610.482857142857,811.877,574.626153846154,538.647222222222,643.236388888889,699.408333333333,726.31,459.848333333333,509.708333333333,391.666666666667,452.09,440.29,389.08,650.02,442.335
"20",20000,495.826388888889,611.4,812.949,575.163846153846,538.819444444444,644.084166666667,699.937777777778,726.46,459.965,509.8675,391.71,452.265,440.28,389,650.42,442.47
"21",21000,495.950925925926,612.271428571429,814.017,575.753846153846,539.117777777778,644.955277777778,700.483333333333,726.62,460.021666666667,510.005,391.686666666667,452.395,440.29,389.07,650.89,442.58
"22",22000,496.100925925926,613.16,815.052,576.339230769231,539.463333333333,645.791111111111,701.058333333333,726.85,460.071666666667,510.136666666667,391.58,452.54,440.33,389.2,651.51,442.69
"23",23000,496.243148148148,613.882857142857,816.231,576.928461538462,539.736666666667,646.691666666667,701.686111111111,727.04,460.076666666667,510.153333333333,391.633333333333,452.565,440.33,389.47,652.17,442.75
"24",24000,496.346759259259,614.707142857143,817.288,577.617692307692,540.011111111111,647.626388888889,702.207777777778,727.06,460.011666666667,510.2775,391.656666666667,452.555,440.33,389.67,652.75,442.81
"25",25000,496.406203703704,615.464285714286,818.246,578.246153846154,540.273333333333,648.536388888889,702.671666666667,727.08,459.881666666667,510.449166666667,391.59,452.59,440.48,389.72,653.14,442.725
"26",26000,496.421666666667,616.115714285714,819.245,578.841538461538,540.408333333333,649.373611111111,703.193333333333,726.86,459.78,510.576666666667,391.543333333333,452.755,440.55,389.61,653.6,442.52
"27",27000,496.466851851852,616.888571428571,820.169,579.502307692308,540.581111111111,650.191944444444,703.612222222222,726.8,459.89,510.736666666667,391.49,452.93,440.46,389.37,654.22,442.305
"28",28000,496.516851851852,617.622857142857,821.215,580.155384615385,540.854444444444,651.029166666667,704.049444444444,727.1,459.981666666667,510.82,391.43,452.93,440.5,389.14,654.46,442.29
"29",29000,496.603518518519,618.35,822.39,580.798461538462,541.170555555556,651.918055555556,704.550555555556,727.26,460.073333333333,510.901666666667,391.476666666667,452.92,440.41,389.07,654.82,442.5
"30",30000,496.723981481482,619.088571428571,823.514,581.390769230769,541.487222222222,652.749444444445,705.031111111111,727.5,460.205,511.030833333333,391.49,452.89,440.41,389.08,655.32,442.59
"31",31000,496.9075,619.868571428571,824.762,581.975384615385,541.864444444445,653.585,705.512777777778,727.97,460.408333333333,511.204166666667,391.54,452.64,440.58,389.22,655.82,442.785
"32",32000,497.030092592593,620.548571428571,825.792,582.563846153846,542.143888888889,654.39,705.992777777778,728.25,460.42,511.325833333333,391.54,452.595,440.61,389.32,656.31,442.9
"33",33000,497.188333333333,621.138571428571,826.672,583.113076923077,542.406666666667,655.108611111111,706.471111111111,728.49,460.345,511.468333333333,391.506666666667,452.72,440.55,389.56,657.11,442.945
"34",34000,497.264537037037,621.834285714286,827.618,583.653846153846,542.628888888889,655.876111111111,706.938333333333,728.6,460.348333333333,511.549166666667,391.483333333333,452.73,440.54,389.63,657.57,442.93
"35",35000,497.253981481482,622.54,828.464,584.243846153846,542.764444444445,656.671111111111,707.412777777778,728.55,460.28,511.560833333333,391.44,452.7,440.5,389.62,657.77,442.865
"36",36000,497.285,623.215714285714,829.431,584.760769230769,542.946666666667,657.470277777778,707.812222222222,728.58,460.256666666667,511.596666666667,391.446666666667,452.72,440.34,389.61,658.14,442.875
"37",37000,497.353611111111,623.988571428572,830.442,585.212307692308,543.200555555556,658.179722222222,708.203888888889,728.75,460.308333333333,511.714166666667,391.37,452.8,440.43,389.53,658.53,442.75
"38",38000,497.392685185185,624.687142857143,831.252,585.682307692308,543.402777777778,658.928055555556,708.612222222222,728.87,460.341666666667,511.839166666667,391.303333333333,452.805,440.44,389.29,658.96,442.685
"39",39000,497.51462962963,625.278571428571,832.116,586.215384615385,543.631111111111,659.691111111111,709.001111111111,729.21,460.405,511.943333333333,391.363333333333,452.815,440.31,389.2,659.6,442.785
"40",40000,497.644537037037,625.881428571429,832.916,586.791538461538,543.818888888889,660.406666666667,709.411111111111,729.56,460.418333333333,512.0675,391.45,452.935,440.41,389.08,660.08,442.8
"41",41000,497.667592592593,626.465714285714,833.602,587.308461538462,543.923888888889,661.144166666667,709.817222222222,729.55,460.385,512.141666666667,391.486666666667,452.86,440.4,389.04,660.35,442.795
"42",42000,497.796388888889,627.08,834.608,587.807692307692,544.141666666667,661.868333333333,710.198888888889,729.68,460.458333333333,512.270833333333,391.533333333333,452.81,440.45,389.23,660.87,442.865
"43",43000,497.909351851852,627.617142857143,835.481,588.300769230769,544.363888888889,662.5325,710.546666666667,729.95,460.506666666667,512.455833333333,391.526666666667,452.86,440.59,389.17,661.29,442.835
"44",44000,497.932592592593,628.145714285714,836.048,588.746153846154,544.524444444444,663.196944444444,710.905,730,460.438333333333,512.545,391.41,452.845,440.53,389.2,661.59,442.835
"45",45000,498.023240740741,628.725714285714,836.636,589.133846153846,544.718888888889,663.869444444444,711.300555555556,730.19,460.361666666667,512.5775,391.36,452.955,440.42,389.28,662.13,442.935
"46",46000,498.093055555556,629.231428571429,837.174,589.478461538461,544.916111111111,664.532222222222,711.697222222222,730.37,460.365,512.6125,391.36,453.015,440.44,389.2,662.48,442.995
"47",47000,498.168518518519,629.754285714286,837.773,589.904615384615,545.081666666667,665.179444444444,712.057777777778,730.53,460.391666666667,512.671666666667,391.353333333333,453.025,440.46,389.21,662.84,443.035
"48",48000,498.240185185185,630.298571428571,838.309,590.366923076923,545.226111111111,665.813333333333,712.417777777778,730.64,460.418333333333,512.708333333333,391.32,452.985,440.55,389.31,663.19,443.04
"49",49000,498.335740740741,630.855714285714,839.084,590.783846153846,545.395555555556,666.429166666667,712.711111111111,730.86,460.446666666667,512.808333333333,391.356666666667,452.95,440.63,389.34,663.55,443.08
"50",50000,498.381111111111,631.317142857143,840.017,591.136153846154,545.521666666667,667.054166666667,712.995555555556,730.91,460.515,512.92,391.39,452.91,440.67,389.29,663.74,443.085
"51",51000,498.4775,631.732857142857,840.654,591.606923076923,545.57,667.65,713.278333333333,731.1,460.571666666667,512.9325,391.383333333333,453,440.67,389.32,664.2,443.12
"52",52000,498.595555555556,632.158571428571,841.207,591.956153846154,545.682222222222,668.219444444444,713.512222222222,731.42,460.558333333333,512.916666666667,391.38,453.135,440.68,389.32,664.75,443.2
"53",53000,498.651111111111,632.598571428571,841.874,592.226923076923,545.835555555556,668.801388888889,713.796111111111,731.51,460.521666666667,512.935,391.353333333333,453.21,440.6,389.21,665.23,443.29
"54",54000,498.738055555556,632.994285714286,842.371,592.644615384615,545.927777777778,669.342777777778,714.12,731.73,460.55,513.025833333333,391.356666666667,453.175,440.59,389.07,665.75,443.395
"55",55000,498.811759259259,633.448571428571,842.915,593.023846153846,546.015,669.882222222222,714.412222222222,732.04,460.508333333333,513.1925,391.35,453.105,440.59,389.1,666.13,443.29
"56",56000,498.827777777778,633.887142857143,843.389,593.388461538462,546.113888888889,670.414444444444,714.706111111111,732.16,460.396666666667,513.278333333333,391.26,453.125,440.48,389.21,666.34,443.2
"57",57000,498.937685185185,634.267142857143,843.735,593.774615384615,546.156111111111,670.893333333333,714.955555555556,732.34,460.405,513.295833333333,391.213333333333,453.245,440.68,389.32,666.71,443.23
"58",58000,499.016574074074,634.69,844.171,594.08,546.246666666667,671.405,715.176111111111,732.49,460.391666666667,513.2825,391.19,453.27,440.82,389.36,667.17,443.175
"59",59000,499.001296296296,634.984285714286,844.561,594.416153846154,546.412777777778,671.940555555556,715.402222222222,732.46,460.336666666667,513.245,391.1,453.22,440.65,389.24,667.62,443.14
"60",60000,499.028981481481,635.264285714286,845.058,594.768461538462,546.521666666667,672.465277777778,715.578333333333,732.54,460.348333333333,513.290833333333,391.126666666667,453.12,440.64,388.98,668.12,443.095
"61",61000,499.05212962963,635.561428571428,845.467,595.041538461538,546.576111111111,672.949722222222,715.769444444445,732.6,460.351666666667,513.354166666667,391.153333333333,453.03,440.55,388.86,668.52,443.05
"62",62000,499.028981481481,635.845714285714,845.887,595.265384615385,546.581111111111,673.435,715.979444444445,732.64,460.325,513.4875,391.203333333333,452.84,440.29,388.76,668.84,442.875
"63",63000,499.063333333333,636.037142857143,846.08,595.535384615385,546.6,673.838611111111,716.172222222222,732.75,460.321666666667,513.556666666667,391.166666666667,452.805,440,388.87,669.24,442.86
"64",64000,499.173425925926,636.29,846.321,595.799230769231,546.597777777778,674.214166666667,716.351666666667,733.04,460.321666666667,513.5875,391.146666666667,452.855,440.09,388.96,669.62,442.94
"65",65000,499.250925925926,636.544285714286,846.599,595.963846153846,546.571666666667,674.613888888889,716.567222222222,733.27,460.338333333333,513.618333333333,391.106666666667,452.95,440.08,389.09,669.87,442.935
"66",66000,499.334351851852,636.805714285714,846.886,596.2,546.621666666667,675.000555555556,716.737777777778,733.55,460.401666666667,513.624166666667,391.023333333333,453.005,440.07,389.13,670.23,442.975
"67",67000,499.387685185185,637.062857142857,847.172,596.52,546.684444444444,675.423888888889,716.903333333333,733.77,460.378333333333,513.6525,390.923333333333,452.905,440.29,389.01,670.6,442.96
