"","wavelength","hc_mean_reflectance"
"319",319,0.41434
"320",320,0.41395
"321",321,0.41354
"322",322,0.41311
"323",323,0.41273
"324",324,0.4123
"325",325,0.41183
"326",326,0.41138
"327",327,0.41093
"328",328,0.41044
"329",329,0.40996
"330",330,0.40949
"331",331,0.40899
"332",332,0.40848
"333",333,0.408
"334",334,0.40748
"335",335,0.40694
"336",336,0.40638
"337",337,0.40585
"338",338,0.40533
"339",339,0.40477
"340",340,0.40427
"341",341,0.40378
"342",342,0.40322
"343",343,0.40269
"344",344,0.40217
"345",345,0.40163
"346",346,0.40112
"347",347,0.40064
"348",348,0.40016
"349",349,0.39967
"350",350,0.39918
"351",351,0.3987
"352",352,0.39821
"353",353,0.39773
"354",354,0.39724
"355",355,0.39676
"356",356,0.39627
"357",357,0.39579
"358",358,0.3953
"359",359,0.39486
"360",360,0.39437
"361",361,0.3938
"362",362,0.3932
"363",363,0.39259
"364",364,0.39194
"365",365,0.39128
"366",366,0.39065
"367",367,0.38995
"368",368,0.38915
"369",369,0.38829
"370",370,0.38733
"371",371,0.38631
"372",372,0.38529
"373",373,0.38419
"374",374,0.38298
"375",375,0.38168
"376",376,0.38026
"377",377,0.37873
"378",378,0.37708
"379",379,0.37535
"380",380,0.37344
"381",381,0.37144
"382",382,0.36925
"383",383,0.36688
"384",384,0.36437
"385",385,0.36171
"386",386,0.35889
"387",387,0.35594
"388",388,0.35292
"389",389,0.34974
"390",390,0.34645
"391",391,0.34305
"392",392,0.33951
"393",393,0.33594
"394",394,0.33229
"395",395,0.32856
"396",396,0.32487
"397",397,0.32113
"398",398,0.31739
"399",399,0.31371
"400",400,0.31004
"401",401,0.30644
"402",402,0.30294
"403",403,0.29954
"404",404,0.29621
"405",405,0.29302
"406",406,0.28995
"407",407,0.28701
"408",408,0.28417
"409",409,0.28147
"410",410,0.27885
"411",411,0.27643
"412",412,0.27417
"413",413,0.27203
"414",414,0.27002
"415",415,0.26816
"416",416,0.26644
"417",417,0.26479
"418",418,0.26325
"419",419,0.26188
"420",420,0.26056
"421",421,0.25933
"422",422,0.25826
"423",423,0.25727
"424",424,0.25634
"425",425,0.25551
"426",426,0.25475
"427",427,0.25402
"428",428,0.25337
"429",429,0.25282
"430",430,0.25232
"431",431,0.25188
"432",432,0.25149
"433",433,0.25115
"434",434,0.25084
"435",435,0.25056
"436",436,0.25032
"437",437,0.2501
"438",438,0.24994
"439",439,0.24984
"440",440,0.24976
"441",441,0.24975
"442",442,0.24974
"443",443,0.24973
"444",444,0.24977
"445",445,0.24987
"446",446,0.24994
"447",447,0.25003
"448",448,0.25014
"449",449,0.25024
"450",450,0.25035
"451",451,0.25052
"452",452,0.2507
"453",453,0.25087
"454",454,0.25106
"455",455,0.25129
"456",456,0.25154
"457",457,0.2518
"458",458,0.2521
"459",459,0.2524
"460",460,0.25274
"461",461,0.25316
"462",462,0.25359
"463",463,0.25407
"464",464,0.2546
"465",465,0.25516
"466",466,0.25576
"467",467,0.25642
"468",468,0.25715
"469",469,0.25789
"470",470,0.25866
"471",471,0.25948
"472",472,0.26033
"473",473,0.26121
"474",474,0.26216
"475",475,0.2631
"476",476,0.26405
"477",477,0.26504
"478",478,0.26606
"479",479,0.26708
"480",480,0.26814
"481",481,0.2692
"482",482,0.27026
"483",483,0.27132
"484",484,0.27237
"485",485,0.27344
"486",486,0.27452
"487",487,0.27557
"488",488,0.27665
"489",489,0.27774
"490",490,0.27882
"491",491,0.27991
"492",492,0.28101
"493",493,0.28211
"494",494,0.28321
"495",495,0.28428
"496",496,0.28535
"497",497,0.28643
"498",498,0.2875
"499",499,0.28858
"500",500,0.28965
"501",501,0.29069
"502",502,0.29176
"503",503,0.29281
"504",504,0.29388
"505",505,0.29498
"506",506,0.29601
"507",507,0.29704
"508",508,0.29805
"509",509,0.29901
"510",510,0.3
"511",511,0.301
"512",512,0.302
"513",513,0.30302
"514",514,0.304
"515",515,0.30497
"516",516,0.30592
"517",517,0.30684
"518",518,0.30778
"519",519,0.30871
"520",520,0.30963
"521",521,0.31056
"522",522,0.31146
"523",523,0.31233
"524",524,0.31321
"525",525,0.31408
"526",526,0.31495
"527",527,0.31583
"528",528,0.31668
"529",529,0.31751
