wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
383,0.497264537,0.621834286,0.827618,0.583653846,0.542628889,0.655876111,0.706938333,0.7286,0.460348333,0.511549167,0.391483333,0.45273,0.44054,0.38963,0.65757,0.44293
384,0.497253981,0.62254,0.828464,0.584243846,0.542764444,0.656671111,0.707412778,0.72855,0.46028,0.511560833,0.39144,0.4527,0.4405,0.38962,0.65777,0.442865
385,0.497285,0.623215714,0.829431,0.584760769,0.542946667,0.657470278,0.707812222,0.72858,0.460256667,0.511596667,0.391446667,0.45272,0.44034,0.38961,0.65814,0.442875
386,0.497353611,0.623988571,0.830442,0.585212308,0.543200556,0.658179722,0.708203889,0.72875,0.460308333,0.511714167,0.39137,0.4528,0.44043,0.38953,0.65853,0.44275
387,0.497392685,0.624687143,0.831252,0.585682308,0.543402778,0.658928056,0.708612222,0.72887,0.460341667,0.511839167,0.391303333,0.452805,0.44044,0.38929,0.65896,0.442685
388,0.49751463,0.625278571,0.832116,0.586215385,0.543631111,0.659691111,0.709001111,0.72921,0.460405,0.511943333,0.391363333,0.452815,0.44031,0.3892,0.6596,0.442785
389,0.497644537,0.625881429,0.832916,0.586791538,0.543818889,0.660406667,0.709411111,0.72956,0.460418333,0.5120675,0.39145,0.452935,0.44041,0.38908,0.66008,0.4428
390,0.497667593,0.626465714,0.833602,0.587308462,0.543923889,0.661144167,0.709817222,0.72955,0.460385,0.512141667,0.391486667,0.45286,0.4404,0.38904,0.66035,0.442795
391,0.497796389,0.62708,0.834608,0.587807692,0.544141667,0.661868333,0.710198889,0.72968,0.460458333,0.512270833,0.391533333,0.45281,0.44045,0.38923,0.66087,0.442865
392,0.497909352,0.627617143,0.835481,0.588300769,0.544363889,0.6625325,0.710546667,0.72995,0.460506667,0.512455833,0.391526667,0.45286,0.44059,0.38917,0.66129,0.442835
393,0.497932593,0.628145714,0.836048,0.588746154,0.544524444,0.663196944,0.710905,0.73,0.460438333,0.512545,0.39141,0.452845,0.44053,0.3892,0.66159,0.442835
394,0.498023241,0.628725714,0.836636,0.589133846,0.544718889,0.663869444,0.711300556,0.73019,0.460361667,0.5125775,0.39136,0.452955,0.44042,0.38928,0.66213,0.442935
395,0.498093056,0.629231429,0.837174,0.589478462,0.544916111,0.664532222,0.711697222,0.73037,0.460365,0.5126125,0.39136,0.453015,0.44044,0.3892,0.66248,0.442995
396,0.498168519,0.629754286,0.837773,0.589904615,0.545081667,0.665179444,0.712057778,0.73053,0.460391667,0.512671667,0.391353333,0.453025,0.44046,0.38921,0.66284,0.443035
397,0.498240185,0.630298571,0.838309,0.590366923,0.545226111,0.665813333,0.712417778,0.73064,0.460418333,0.512708333,0.39132,0.452985,0.44055,0.38931,0.66319,0.44304
398,0.498335741,0.630855714,0.839084,0.590783846,0.545395556,0.666429167,0.712711111,0.73086,0.460446667,0.512808333,0.391356667,0.45295,0.44063,0.38934,0.66355,0.44308
399,0.498381111,0.631317143,0.840017,0.591136154,0.545521667,0.667054167,0.712995556,0.73091,0.460515,0.51292,0.39139,0.45291,0.44067,0.38929,0.66374,0.443085
400,0.4984775,0.631732857,0.840654,0.591606923,0.54557,0.66765,0.713278333,0.7311,0.460571667,0.5129325,0.391383333,0.453,0.44067,0.38932,0.6642,0.44312
401,0.498595556,0.632158571,0.841207,0.591956154,0.545682222,0.668219444,0.713512222,0.73142,0.460558333,0.512916667,0.39138,0.453135,0.44068,0.38932,0.66475,0.4432
