"","wavelength","rho_mean_reflectance"
"1",1,0.533788333333333
"2",2,0.533612222222222
"3",3,0.533757777777778
"4",4,0.533998333333333
"5",5,0.534284444444444
"6",6,0.534575555555556
"7",7,0.534881666666667
"8",8,0.535195555555556
"9",9,0.535545555555555
"10",10,0.535839444444444
"11",11,0.536185
"12",12,0.536489444444444
"13",13,0.536726666666667
"14",14,0.537001666666667
"15",15,0.537302777777778
"16",16,0.537601666666667
"17",17,0.537930555555556
"18",18,0.538351666666667
"19",19,0.538647222222222
"20",20,0.538819444444444
"21",21,0.539117777777778
"22",22,0.539463333333333
"23",23,0.539736666666667
"24",24,0.540011111111111
"25",25,0.540273333333333
"26",26,0.540408333333333
"27",27,0.540581111111111
"28",28,0.540854444444444
"29",29,0.541170555555556
"30",30,0.541487222222222
"31",31,0.541864444444444
"32",32,0.542143888888889
"33",33,0.542406666666667
"34",34,0.542628888888889
"35",35,0.542764444444444
"36",36,0.542946666666667
"37",37,0.543200555555556
"38",38,0.543402777777778
"39",39,0.543631111111111
"40",40,0.543818888888889
"41",41,0.543923888888889
"42",42,0.544141666666667
"43",43,0.544363888888889
"44",44,0.544524444444444
"45",45,0.544718888888889
"46",46,0.544916111111111
"47",47,0.545081666666667
"48",48,0.545226111111111
"49",49,0.545395555555556
"50",50,0.545521666666667
"51",51,0.54557
"52",52,0.545682222222222
"53",53,0.545835555555556
"54",54,0.545927777777778
"55",55,0.546015
"56",56,0.546113888888889
"57",57,0.546156111111111
"58",58,0.546246666666667
"59",59,0.546412777777778
"60",60,0.546521666666667
"61",61,0.546576111111111
"62",62,0.546581111111111
"63",63,0.5466
"64",64,0.546597777777778
"65",65,0.546571666666667
"66",66,0.546621666666667
"67",67,0.546684444444444
"68",68,0.546703888888889
"69",69,0.546768333333333
"70",70,0.546822777777778
"71",71,0.546795
"72",72,0.546771666666667
"73",73,0.546785555555556
"74",74,0.546773333333333
"75",75,0.546762222222222
"76",76,0.54674
"77",77,0.546707222222222
"78",78,0.546652222222222
"79",79,0.546567222222222
"80",80,0.546497222222222
"81",81,0.546455555555556
"82",82,0.546438888888889
"83",83,0.546379444444444
"84",84,0.546328888888889
"85",85,0.546278888888889
"86",86,0.546159444444444
"87",87,0.546021666666667
"88",88,0.545906666666667
"89",89,0.545789444444444
"90",90,0.545652222222222
"91",91,0.545512222222222
"92",92,0.545383888888889
"93",93,0.545254444444444
"94",94,0.54511
"95",95,0.544962777777778
"96",96,0.544843333333333
"97",97,0.544752777777778
"98",98,0.544605
"99",99,0.544438888888889
"100",100,0.544275
"101",101,0.544081666666667
"102",102,0.543883888888889
"103",103,0.543671111111111
"104",104,0.543480555555556
"105",105,0.543303888888889
"106",106,0.543112222222222
"107",107,0.542938888888889
"108",108,0.542742777777778
"109",109,0.542530555555556
"110",110,0.542297777777778
"111",111,0.542036666666667
"112",112,0.541800555555556
"113",113,0.541515
"114",114,0.541242222222222
"115",115,0.540991666666667
"116",116,0.540703333333333
"117",117,0.54042
"118",118,0.540081111111111
"119",119,0.539716111111111
"120",120,0.539318333333333
"121",121,0.538894444444444
"122",122,0.538457777777778
"123",123,0.537966666666667
"124",124,0.537452222222222
"125",125,0.536875
"126",126,0.536266111111111
"127",127,0.535576666666667
"128",128,0.534845
"129",129,0.534021111111111
"130",130,0.533106111111111
"131",131,0.532129444444444
"132",132,0.531077777777778
"133",133,0.529958333333333
"134",134,0.528737222222222
"135",135,0.527453888888889
"136",136,0.526064444444444
"137",137,0.524565555555556
"138",138,0.523004444444444
"139",139,0.521346666666667
"140",140,0.519662222222222
"141",141,0.517907222222222
"142",142,0.516120555555556
"143",143,0.514255555555556
"144",144,0.512421666666667
"145",145,0.510552222222222
"146",146,0.508700555555556
"147",147,0.50688
"148",148,0.505135
"149",149,0.503441111111111
"150",150,0.501774444444444
"151",151,0.500218333333333
"152",152,0.498723888888889
"153",153,0.497341111111111
"154",154,0.496049444444444
"155",155,0.494848333333333
"156",156,0.493734444444444
"157",157,0.492723333333333
"158",158,0.491793888888889
"159",159,0.490971111111111
"160",160,0.490281111111111
"161",161,0.489627777777778
"162",162,0.489069444444444
"163",163,0.488546666666667
"164",164,0.48807
"165",165,0.487630555555556
"166",166,0.487263333333333
"167",167,0.486975555555556
"168",168,0.486671666666667
"169",169,0.486408888888889
"170",170,0.486158333333333
"171",171,0.485912777777778
"172",172,0.485695555555556
"173",173,0.485547222222222
"174",174,0.485352222222222
"175",175,0.485146111111111
"176",176,0.48495
"177",177,0.484743888888889
"178",178,0.484546111111111
"179",179,0.484375
"180",180,0.484182777777778
"181",181,0.483980555555556
"182",182,0.483767222222222
"183",183,0.483569444444444
"184",184,0.483363888888889
"185",185,0.483168888888889
"186",186,0.482978888888889
"187",187,0.4828
"188",188,0.482616111111111
"189",189,0.482453888888889
"190",190,0.482310555555556
"191",191,0.482171666666667
"192",192,0.482033888888889
"193",193,0.481921111111111
"194",194,0.481815555555556
"195",195,0.481739444444444
"196",196,0.48169
"197",197,0.481657222222222
"198",198,0.481645
"199",199,0.48164
"200",200,0.481662222222222
"201",201,0.481697777777778
"202",202,0.48176
"203",203,0.48185
"204",204,0.481947222222222
"205",205,0.48207
"206",206,0.482193333333333
"207",207,0.482310555555556
"208",208,0.482467777777778
"209",209,0.482645555555556
"210",210,0.482839444444444
"211",211,0.483065555555556
"212",212,0.483296666666667
"213",213,0.483538888888889
"214",214,0.483795
"215",215,0.484080555555556
"216",216,0.484358888888889
"217",217,0.484618333333333
"218",218,0.484910555555556
"219",219,0.485206111111111
